index;time;month;year;day;Borgou;Collines;BEN;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Oueme;Zou
0;-17883.0;1.0;1901.0;15.0;0.5135579;0.08313017;0.75517976;2.9755096;2.2980926;8.657346;0.17580295;3.0080976;0.044234112;0.0;16.6;10.63812;1.5411882
1;-17852.0;2.0;1901.0;15.0;4.6586666;25.738997;10.972387;33.18936;42.53268;31.731287;3.182878;51.61414;0.4826138;0.58672756;30.0;30.341558;49.270443
2;-17824.0;3.0;1901.0;15.0;22.73396;52.189793;31.515543;110.63723;108.15306;125.002625;24.62593;85.992134;5.9982057;5.541375;149.3;125.772255;93.02975
3;-17793.0;4.0;1901.0;15.0;50.66896;79.71128;59.99088;70.68277;81.95852;55.255898;55.241886;91.233536;74.85114;36.240463;56.3;55.91526;95.37474
4;-17763.0;5.0;1901.0;15.0;114.72828;136.63634;117.121414;143.06519;165.25885;175.81274;121.21181;162.58537;100.65281;87.6959;171.9;185.0174;171.42543
5;-17732.0;6.0;1901.0;15.0;229.18129;246.90228;213.0995;124.19287;146.2115;192.37529;234.38618;284.91617;213.01561;176.62143;192.7;242.26848;200.84412
6;-17702.0;7.0;1901.0;15.0;156.54085;152.89928;147.37872;123.23747;137.83336;204.22884;131.34045;216.0682;121.882866;141.97603;246.2;260.46472;155.26436
7;-17671.0;8.0;1901.0;15.0;259.72418;197.49583;256.67303;113.1834;166.97316;206.04059;288.0942;191.3988;312.25748;273.28674;230.6;239.51283;191.5507
8;-17640.0;9.0;1901.0;15.0;302.6124;237.26451;262.19177;298.49994;272.14728;348.1351;355.2408;264.6105;238.07623;203.24704;415.3;366.8443;231.75182
9;-17610.0;10.0;1901.0;15.0;112.03129;174.87787;120.875;186.3535;205.88634;234.88785;136.0587;226.70988;94.63901;51.82536;247.0;259.7232;212.21632
10;-17579.0;11.0;1901.0;15.0;2.5593798;12.531477;9.725673;41.578808;40.76927;32.373898;3.7024086;32.183056;9.154597;1.9500464;38.7;34.157536;34.26703
11;-17549.0;12.0;1901.0;15.0;0.54794395;0.078829035;0.5695561;3.740953;1.6582735;3.6742134;0.36489597;0.77611655;0.38261396;0.28487337;8.3;3.080696;0.4779354
12;-17518.0;1.0;1902.0;15.0;0.6691162;2.949782;1.7874109;9.904658;8.84235;11.475194;0.24401611;5.7097297;0.06348164;0.0;20.4;8.817737;7.515976
13;-17487.0;2.0;1902.0;15.0;5.617212;19.992788;10.2714;53.91252;45.87734;45.107735;3.90243;45.87822;0.5941591;0.63981944;57.8;45.22212;25.798376
14;-17459.0;3.0;1902.0;15.0;43.856247;69.27058;44.398056;68.90879;63.255684;98.76474;65.43764;77.176315;32.02263;12.749549;121.6;104.17958;60.544395
15;-17428.0;4.0;1902.0;15.0;85.16691;113.49682;75.10255;157.93901;155.74924;172.35837;99.98245;132.06583;26.298414;24.196062;190.1;168.55496;140.37334
16;-17398.0;5.0;1902.0;15.0;172.19649;204.74335;163.62996;160.12894;164.5369;106.02058;204.0542;157.71198;163.89803;124.52719;113.2;91.093346;179.0243
17;-17367.0;6.0;1902.0;15.0;142.0705;150.86368;137.92738;172.57611;162.6008;159.65453;135.49782;175.98709;122.548836;121.73211;175.4;162.68286;165.53828
