index;time;month;year;day;Borgou;Collines;BEN;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Oueme;Zou
0;-17883.0;1.0;1901.0;15.0;24.679325;26.442438;24.922344;26.432323;26.541498;26.495834;24.935385;26.525942;24.371502;23.701878;26.5;26.461773;26.81828
1;-17852.0;2.0;1901.0;15.0;28.319054;29.115751;28.37942;28.598486;28.741503;28.664272;28.245752;28.959074;28.179754;27.958538;28.6;28.67087;29.052057
2;-17824.0;3.0;1901.0;15.0;28.884615;28.44122;28.96853;27.966162;28.000006;27.96844;28.341818;28.183172;29.27109;29.919577;27.9;27.970871;28.205189
3;-17793.0;4.0;1901.0;15.0;29.43034;28.299591;29.663363;28.033838;27.958506;27.972605;28.552406;28.050241;30.258818;31.661047;27.9;27.970871;28.096617
4;-17763.0;5.0;1901.0;15.0;27.97548;27.418615;28.38393;27.435066;27.36442;27.470148;27.216234;27.48191;28.64537;30.172466;27.4;27.458637;27.491693
5;-17732.0;6.0;1901.0;15.0;26.787188;26.465023;27.13563;26.435066;26.36442;26.470148;26.25165;26.35657;27.289623;28.534681;26.4;26.394415;26.487593
6;-17702.0;7.0;1901.0;15.0;25.59175;25.455559;25.840387;25.635067;25.522923;25.64067;25.12981;25.569565;25.781506;26.77991;25.5;25.603514;25.648054
7;-17671.0;8.0;1901.0;15.0;25.228197;25.149704;25.46232;25.533838;25.375505;25.472605;24.883644;25.333117;25.474173;26.12635;25.4;25.432642;25.380323
8;-17640.0;9.0;1901.0;15.0;25.571846;25.737047;25.901684;26.033838;25.917002;25.972605;25.350437;25.855232;25.840895;26.564556;25.9;25.906647;25.97106
9;-17610.0;10.0;1901.0;15.0;26.78522;26.752798;27.15957;26.801228;26.722923;26.838587;26.444498;26.818533;27.343637;28.118578;26.7;26.777517;26.853092
10;-17579.0;11.0;1901.0;15.0;26.854265;27.659565;27.168367;27.666162;27.699997;27.668438;26.720825;27.789675;27.0842;27.089458;27.6;27.67087;27.864712
11;-17549.0;12.0;1901.0;15.0;25.456116;27.046124;25.768711;27.302456;27.311829;27.465609;25.600775;27.477386;25.387026;24.675095;27.4;27.496866;27.576227
12;-17518.0;1.0;1902.0;15.0;25.752834;27.49751;25.934464;27.432323;27.541498;27.495834;25.982439;27.640274;25.382795;24.59573;27.5;27.525995;27.877554
13;-17487.0;2.0;1902.0;15.0;27.803226;28.59348;27.88717;28.197258;28.294088;28.196207;27.737312;28.459074;27.683199;27.505705;28.2;28.174006;28.552296
14;-17459.0;3.0;1902.0;15.0;29.550531;29.046986;29.624176;28.46739;28.54742;28.536505;29.017946;28.783154;30.016094;30.565102;28.4;28.54174;28.804949
15;-17428.0;4.0;1902.0;15.0;30.428305;29.176645;30.65893;28.766163;28.758505;28.73896;29.59868;28.819853;31.428759;32.700275;28.6;28.703514;28.896511
16;-17398.0;5.0;1902.0;15.0;28.598118;27.907583;29.043335;27.764935;27.752588;27.670897;27.897709;27.726162;29.59084;30.952261;27.6;27.632643;27.884449
