index;time;month;year;day;Hanover;Saint_Mary;Saint_Ann;Trelawny;Clarendon;Kingston;Saint_James;Saint_Elizabeth;JAM;Manchester;Westmoreland;Saint_Andrew;Portland;Saint_Catherine;Saint_Thomas
0;-17883.0;1.0;1901.0;15.0;170.58693;580.0162;301.5092;186.61807;273.72748;374.3;169.01729;175.82323;305.15335;217.43228;169.83635;566.5835;503.89383;391.5607;395.794
1;-17852.0;2.0;1901.0;15.0;19.956114;14.534649;9.900153;12.874672;11.033572;9.9;13.249225;14.9487095;13.321122;13.210227;18.752052;14.047751;14.223205;11.70543;11.094046
2;-17824.0;3.0;1901.0;15.0;47.49906;100.65775;52.301598;66.18609;52.04237;78.4;66.79892;62.691006;67.90392;58.21637;51.392715;101.25176;97.62369;71.86268;84.390465
3;-17793.0;4.0;1901.0;15.0;26.672495;28.864136;11.200583;28.092949;13.467144;15.2;29.782354;29.117651;23.347385;22.389189;27.485628;27.87803;31.434137;18.126005;26.058567
4;-17763.0;5.0;1901.0;15.0;79.91197;229.61409;49.305958;76.93609;39.2009;24.1;82.56532;70.3015;101.87687;56.576145;80.24035;205.19238;237.24928;97.171814;161.66032
5;-17732.0;6.0;1901.0;15.0;465.21127;731.1049;454.60913;555.7207;476.34396;566.7;568.06067;540.76733;554.3973;514.59155;485.11737;726.42755;694.8423;567.40686;598.3731
6;-17702.0;7.0;1901.0;15.0;388.1724;363.08853;303.80197;497.1775;340.7957;482.7;522.0437;478.48898;389.83456;421.43958;414.45847;395.75375;307.3895;366.5164;321.29855
7;-17671.0;8.0;1901.0;15.0;151.43828;138.66586;123.80049;175.74321;134.10521;170.3;182.58592;172.04572;147.787;156.26428;157.58368;147.21346;125.275085;140.15979;132.24031
8;-17640.0;9.0;1901.0;15.0;319.54092;507.34134;330.70584;360.83295;348.21884;344.7;363.7876;357.96088;383.47855;354.7628;328.11008;491.8278;498.1211;393.5823;429.08588
9;-17610.0;10.0;1901.0;15.0;185.29329;495.20895;184.61026;206.03372;193.92621;263.9;207.2385;206.21407;279.3507;201.34985;189.81242;479.81784;538.73987;297.95547;456.50204
10;-17579.0;11.0;1901.0;15.0;52.875637;69.20962;44.200825;41.194;49.09497;57.4;40.13623;46.554123;53.60139;47.662403;50.639523;69.45196;72.71218;55.91784;75.89548
11;-17549.0;12.0;1901.0;15.0;164.94135;304.6604;240.30212;137.9083;247.51364;366.8;123.64972;149.88303;216.87195;192.11101;156.66928;325.40076;248.639;285.34906;242.2853
12;-17518.0;1.0;1902.0;15.0;108.26409;161.5246;181.19936;114.57833;163.88727;220.2;104.58475;108.28951;140.45831;131.84628;107.27895;172.07043;125.260574;176.44708;132.61467
13;-17487.0;2.0;1902.0;15.0;22.556112;74.924904;13.802019;15.672799;14.109156;12.9;15.973778;17.300917;30.184576;15.854849;21.35205;68.30769;74.49425;32.632534;49.18529
14;-17459.0;3.0;1902.0;15.0;21.746773;209.43059;15.306413;24.893955;15.454578;19.7;25.885456;24.214987;68.692345;20.44943;22.638092;189.99257;228.4528;76.146576;152.2912
15;-17428.0;4.0;1902.0;15.0;118.504486;148.9386;130.40062;180.59145;127.15386;179.8;184.2442;169.3119;146.26479;151.36028;131.56152;157.73083;131.1113;143.9592;132.94461
16;-17398.0;5.0;1902.0;15.0;83.69355;449.7642;66.41267;89.28724;69.38851;71.5;90.863045;90.209656;172.24141;81.27876;85.47618;410.5982;471.14822;186.79463;326.32266
17;-17367.0;6.0;1902.0;15.0;450.5902;531.27954;437.10312;536.21893;454.97952;467.9;549.13086;519.9691;485.6297;493.40732;469.52682;528.08154;482.66928;477.6388;431.3584
18;-17337.0;7.0;1902.0;15.0;39.448555;70.47813;14.601846;36.446003;18.052242;21.1;39.270794;37.20258;38.89541;29.02598;39.604927;66.02093;72.273834;34.17759;55.842968
19;-17306.0;8.0;1902.0;15.0;155.1691;124.8528;129.39986;181.82497;142.84828;184.9;188.11726;179.51566;149.34114;164.3856;161.76797;137.39651;109.28014;142.41438;123.883354
20;-17275.0;9.0;1902.0;15.0;59.936165;44.164566;27.20056;46.938934;30.394613;24.9;49.88212;49.780518;42.23009;41.39106;58.184803;41.8823;46.57975;33.08025;44.118294
21;-17245.0;10.0;1902.0;15.0;86.005775;209.33044;55.60508;78.52517;62.607536;78.1;80.92836;83.09559;110.69925;74.34504;85.38029;198.07175;235.83832;109.47373;196.47708
22;-17214.0;11.0;1902.0;15.0;115.31333;187.10144;148.80127;111.11464;143.95656;168.6;105.62098;111.03555;139.91493;125.09259;113.32741;187.38226;164.49516;162.61113;154.52792
23;-17184.0;12.0;1902.0;15.0;42.53973;413.0568;38.01239;26.942474;42.173607;57.8;25.36055;32.61965;126.36357;36.72157;39.318474;377.95944;398.1297;158.86429;256.83795
24;-17153.0;1.0;1903.0;15.0;86.76808;190.7084;143.40157;91.130554;133.3009;183.4;82.70143;88.225815;121.44165;107.4258;85.8924;194.43459;121.45212;161.90414;93.42359
25;-17122.0;2.0;1903.0;15.0;22.49669;34.12432;12.700707;15.178539;11.92711;8.7;15.790108;16.219484;19.303019;14.266477;21.23008;31.003944;32.542503;18.34731;23.909887
26;-17094.0;3.0;1903.0;15.0;27.014175;31.480131;19.500395;31.336498;15.63555;13.8;33.321335;27.979515;25.392529;22.573503;28.186962;28.982334;31.875711;20.905005;25.379757
27;-17063.0;4.0;1903.0;15.0;23.945671;173.24823;7.8054657;23.675106;10.324775;10.7;25.280687;25.106161;57.342754;18.74955;24.414785;156.49736;188.17047;60.290817;124.71245
28;-17033.0;5.0;1903.0;15.0;642.6527;662.9696;796.4956;856.97705;766.7695;816.3;854.5909;810.6809;733.9265;792.24475;684.0755;681.3024;535.2243;749.0129;541.6678
29;-17002.0;6.0;1903.0;15.0;77.0051;101.60625;50.801678;75.553604;53.78851;51.6;79.13301;75.31582;74.06487;66.1281;77.53676;96.442665;101.79074;67.63079;84.004456
30;-16972.0;7.0;1903.0;15.0;38.051445;18.995697;12.000231;33.44712;12.875942;11.2;36.787006;32.863613;23.229578;24.251898;37.895073;18.086832;19.590822;14.306363;19.38149
31;-16941.0;8.0;1903.0;15.0;219.23955;672.21954;195.91574;266.0815;214.34631;280.5;274.4684;260.68985;346.4405;241.75604;230.12302;640.5718;699.1089;364.42932;547.5726
32;-16910.0;9.0;1903.0;15.0;60.85501;69.337814;29.201326;48.585285;33.785816;29.4;51.187126;52.15487;50.081142;44.24545;59.228745;65.16457;72.40763;43.15073;59.987923
33;-16880.0;10.0;1903.0;15.0;87.890915;121.335304;56.80213;80.250046;62.158707;75.3;83.04302;83.81149;87.981575;74.516396;87.249794;118.57748;136.88808;81.84182;126.18786
34;-16849.0;11.0;1903.0;15.0;97.90136;321.03583;115.106804;89.78434;107.68025;118.4;86.847084;88.58327;153.86115;96.55298;95.58706;300.11847;316.6471;176.90553;241.83427
35;-16819.0;12.0;1903.0;15.0;90.304504;446.9073;113.31102;68.944374;114.17594;160.0;63.56485;74.666695;177.0484;91.60853;84.940956;422.01266;418.29114;225.11269;295.52823
36;-16788.0;1.0;1904.0;15.0;17.456114;187.73962;8.305927;10.514954;8.609156;6.4;10.906555;12.015071;53.36423;10.481801;16.252052;168.47533;185.52254;63.521996;116.26283
37;-16757.0;2.0;1904.0;15.0;35.10467;196.08891;35.805294;30.34564;35.64542;40.6;29.334446;31.90891;72.70668;33.4524;34.05698;180.29312;193.357;86.15688;128.62619
38;-16728.0;3.0;1904.0;15.0;26.03701;115.76702;21.503115;31.850224;21.75763;30.1;32.74946;30.788425;49.419456;26.928823;27.444355;107.733376;123.61203;52.27036;89.63941
39;-16697.0;4.0;1904.0;15.0;32.61528;57.713566;18.801285;37.89698;20.60341;25.4;39.739803;38.04771;36.506237;30.556969;34.21027;55.060333;59.325954;32.609642;48.258434
40;-16667.0;5.0;1904.0;15.0;85.630135;184.47707;65.903915;90.09913;65.539314;63.7;92.64314;88.94854;103.480415;78.81579;87.24076;171.54153;183.65164;102.03577;135.32637
41;-16636.0;6.0;1904.0;15.0;433.57425;725.8513;423.21;517.58606;445.45923;462.5;528.6361;505.06036;525.4611;480.89432;452.07303;702.60004;697.75073;531.1464;572.59467
42;-16606.0;7.0;1904.0;15.0;72.42547;119.040115;42.002544;80.16425;48.85296;65.4;85.04481;79.18742;77.49739;66.40736;75.083786;116.03387;116.25346;72.280975;95.93242
43;-16575.0;8.0;1904.0;15.0;61.50399;63.704453;30.301104;57.352585;33.28851;35.1;61.313347;57.794586;51.48267;47.28128;61.61345;61.23866;66.70862;42.47253;60.286304
44;-16544.0;9.0;1904.0;15.0;201.26248;1029.6987;194.52759;219.02145;208.30898;206.3;221.22359;220.33356;423.99063;215.76006;205.32814;944.5214;1127.1843;459.31726;829.3307
45;-16514.0;10.0;1904.0;15.0;611.88257;379.73846;747.0879;758.3698;777.5519;1103.7;751.6814;745.8395;647.53125;761.7746;639.232;495.85883;249.41429;707.7958;458.65167
46;-16483.0;11.0;1904.0;15.0;55.927082;431.68802;46.412727;43.423603;47.275944;50.2;43.011444;46.771774;144.63359;46.88086;53.534595;392.0373;454.03284;166.46013;316.1378
47;-16453.0;12.0;1904.0;15.0;39.128864;236.11159;31.406763;23.500727;34.079353;43.6;22.611324;28.232891;80.10545;30.690763;36.00143;217.25774;227.2305;97.75242;154.04044
48;-16422.0;1.0;1905.0;15.0;20.515535;361.5619;15.111445;14.413391;15.769838;17.9;14.182002;16.127478;98.30639;15.927483;19.374023;325.7727;350.85544;122.911575;214.94875
49;-16391.0;2.0;1905.0;15.0;38.223515;106.698074;42.602116;34.578472;43.63052;52.6;32.865673;36.854954;55.181885;39.747173;37.300922;102.13824;100.39816;64.55193;76.34355
50;-16363.0;3.0;1905.0;15.0;182.98734;195.10416;242.49843;280.7765;235.23483;365.0;280.73322;259.98517;231.97214;249.8338;202.23668;226.71555;159.40201;247.52303;196.90225
51;-16332.0;4.0;1905.0;15.0;147.20534;135.21635;161.79912;224.35886;150.10359;202.4;230.51785;205.2382;166.20415;181.57701;163.42107;146.83578;112.15625;157.04764;125.45263
52;-16302.0;5.0;1905.0;15.0;259.77808;395.60165;296.70328;331.27;289.7955;307.4;331.4772;317.5597;318.61362;305.78845;274.07047;387.5377;360.76456;326.92493;309.25095
53;-16271.0;6.0;1905.0;15.0;502.8871;462.53278;495.4989;603.4743;521.4176;542.1;616.0118;588.49744;513.78455;561.3844;524.8729;476.1273;389.23853;502.2293;386.9074
54;-16241.0;7.0;1905.0;15.0;62.02725;112.13925;33.70259;66.672325;40.192276;53.7;70.73659;66.645874;67.43805;55.489445;63.95062;108.24684;108.75559;63.682426;85.294876
55;-16210.0;8.0;1905.0;15.0;204.06595;282.88568;178.30345;244.85873;192.52118;248.1;253.4796;238.51106;230.21355;219.55685;213.71408;287.0732;272.82867;227.87569;250.62244
56;-16179.0;9.0;1905.0;15.0;440.92444;349.57703;474.79587;508.87;501.79962;501.6;511.07327;504.9024;445.7112;505.12817;454.52878;368.55893;280.8516;449.8042;314.6118
57;-16149.0;10.0;1905.0;15.0;356.85126;479.97168;413.6022;429.6912;435.1894;615.7;426.7952;426.822;439.4809;431.7078;370.79962;516.9366;463.17242;477.61575;493.15356
58;-16118.0;11.0;1905.0;15.0;66.535065;335.39752;67.20886;56.54193;70.29156;82.7;54.457447;60.89484;133.25427;64.935394;64.361496;310.59152;349.19406;153.90506;256.2901
59;-16088.0;12.0;1905.0;15.0;314.53168;486.22122;480.1002;270.80084;482.16104;708.1;243.31363;285.71982;394.66852;370.4683;299.7233;535.1466;365.76;523.7334;392.60034
60;-16057.0;1.0;1906.0;15.0;83.03837;191.09111;136.00182;86.71126;126.36464;173.5;78.78832;84.016075;123.13347;102.04552;82.13142;193.45616;157.76128;156.61198;137.90874
