index;time;month;year;day;Hanover;Saint_Mary;Saint_Ann;Trelawny;Clarendon;Kingston;Saint_James;Saint_Elizabeth;JAM;Manchester;Westmoreland;Saint_Andrew;Portland;Saint_Catherine;Saint_Thomas
0;-17883.0;1.0;1901.0;15.0;23.481154999999998;21.312124;20.700020000000002;22.491068;22.194254;23.3;22.852444000000002;22.95487;22.25807;22.679396;23.356057999999997;21.81307;21.728424;21.849041;22.968382000000002
1;-17852.0;2.0;1901.0;15.0;23.5663;21.587015;20.800026000000003;22.505888;22.294254000000002;23.3;22.852444000000002;22.95487;22.350952;22.723527999999998;23.425564;22.04785;21.893051;21.985088;23.053137
2;-17824.0;3.0;1901.0;15.0;24.636587;22.499569;21.800024;23.421572;23.397306;24.5;23.77211;23.916819;23.363552;23.749886;24.464579;23.013071;22.928423000000002;23.027983;24.168383
3;-17793.0;4.0;1901.0;15.0;24.866298999999998;22.89957;22.200024;23.820997;23.642729;24.7;24.158998;24.223896;23.682985000000002;24.02655;24.725565;23.369589;23.23849;23.341108;24.442726
4;-17763.0;5.0;1901.0;15.0;25.496010000000002;23.324676999999998;22.800016;24.59078;24.08815;25.0;24.945889;24.930975;24.239501999999998;24.614946;25.38655;23.747849;23.682045000000002;23.78217;24.766516
5;-17732.0;6.0;1901.0;15.0;26.681154;24.799570000000003;24.100023;25.721285;25.336624;26.1;26.065554000000002;26.030973;25.473375;25.778187;26.556057;25.160887;25.044788;25.083254;25.914852
6;-17702.0;7.0;1901.0;15.0;26.9663;24.912123;24.30002;25.921572;25.536625;26.3;26.272109999999998;26.292923;25.67556;26.010359;26.825565;25.282626999999998;25.190228;25.256226;26.10444
7;-17671.0;8.0;1901.0;15.0;27.0663;25.19957;24.500023000000002;26.036392000000003;25.78815;26.7;26.37211;26.392923;25.87942;26.179517999999998;26.925564;25.604368;25.490226999999997;25.536226;26.43382
8;-17640.0;9.0;1901.0;15.0;26.896009999999997;24.824676999999998;24.300016;26.006176;25.536625;26.3;26.359;26.3;25.666828;26.017967000000002;26.78655;25.204367;25.135664000000002;25.229197;26.094028
9;-17610.0;10.0;1901.0;15.0;26.09601;24.024677;23.500017;25.205889000000003;24.633572;25.3;25.552444;25.469027;24.818464000000002;25.151829;25.98655;24.360885999999997;24.24479;24.359274;25.114853
10;-17579.0;11.0;1901.0;15.0;24.39601;22.512123000000003;21.90002;23.52071;23.239676;24.1;23.852444000000002;23.861948;23.284994;23.644325;24.28655;22.926107000000002;22.791168;22.926147;23.81672
11;-17549.0;12.0;1901.0;15.0;24.081154;22.274462;21.400028;23.105888;22.894254999999998;23.9;23.452444;23.523897;22.946407;23.307442;23.956057;22.726109;22.54573;22.612116;23.556509
12;-17518.0;1.0;1902.0;15.0;22.981154999999998;20.89957;20.200024;21.990779999999997;21.74578;22.8;22.345888000000002;22.45487;21.79034;22.204422;22.856057999999997;21.39133;21.328424;21.39302;22.539003
13;-17487.0;2.0;1902.0;15.0;23.281155;21.374462;20.500029;22.290781;22.04578;23.2;22.645887;22.723896;22.122349;22.488336999999998;23.156057;21.869589;21.737548999999998;21.765087;22.889206
14;-17459.0;3.0;1902.0;15.0;24.521732;22.19957;21.500023000000002;23.206463;23.097307;24.2;23.565554000000002;23.716820000000002;23.110257999999998;23.505753;24.334085;22.713070000000002;22.628424;22.727982;23.868382
