index;time;month;year;day;ATG;Redonda;Saint_Paul;Saint_Mary;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Barbuda
0;-17883;1;1901;15;6.97270936355577e+33;217.5;6.544403994150141e+34;196.5;196.5;196.5;196.5;196.5;2.9725746036271033e+31
1;-17852;2;1901;15;6.97270936355577e+33;94.80000000000001;6.544403994150141e+34;95.0;95.0;95.0;95.0;95.0;2.9725746036271033e+31
2;-17824;3;1901;15;6.97270936355577e+33;130.20000000000002;6.544403994150141e+34;125.60000000000001;125.60000000000001;125.60000000000001;125.60000000000001;125.60000000000001;2.9725746036271033e+31
3;-17793;4;1901;15;6.97270936355577e+33;158.10000000000002;6.544403994150141e+34;153.8;153.8;153.8;153.8;153.8;2.9725746036271033e+31
4;-17763;5;1901;15;6.97270936355577e+33;211.5;6.544403994150141e+34;204.20000000000002;204.20000000000002;204.20000000000002;204.20000000000002;204.20000000000002;2.9725746036271033e+31
5;-17732;6;1901;15;6.97270936355577e+33;249.10000000000002;6.544403994150141e+34;228.8;228.8;228.8;228.8;228.8;2.9725746036271033e+31
6;-17702;7;1901;15;6.97270936355577e+33;350.1;6.544403994150141e+34;305.8;305.8;305.8;305.8;305.8;2.9725746036271033e+31
7;-17671;8;1901;15;6.97270936355577e+33;194.20000000000002;6.544403994150141e+34;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;2.9725746036271033e+31
8;-17640;9;1901;15;6.97270936355577e+33;331.0;6.544403994150141e+34;301.8;301.8;301.8;301.8;301.8;2.9725746036271033e+31
9;-17610;10;1901;15;6.97270936355577e+33;302.2;6.544403994150141e+34;278.3;278.3;278.3;278.3;278.3;2.9725746036271033e+31
10;-17579;11;1901;15;6.97270936355577e+33;422.3;6.544403994150141e+34;376.90000000000003;376.90000000000003;376.90000000000003;376.90000000000003;376.90000000000003;2.9725746036271033e+31
11;-17549;12;1901;15;6.97270936355577e+33;250.5;6.544403994150141e+34;232.8;232.8;232.8;232.8;232.8;2.9725746036271033e+31
12;-17518;1;1902;15;6.97270936355577e+33;179.20000000000002;6.544403994150141e+34;173.70000000000002;173.70000000000002;173.70000000000002;173.70000000000002;173.70000000000002;2.9725746036271033e+31
