"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,18,"BHS","Bahamas",1,"Acklins","BS.AK",NA,"","District","District","",""
2,18,"BHS","Bahamas",2,"Berry Islands","BS.BR",NA,"","District","District","",""
3,18,"BHS","Bahamas",3,"Biminis","BS.BI",NA,"","District","District","","Bimini"
4,18,"BHS","Bahamas",4,"Black Point","BS.BP",NA,"","District","District","",""
5,18,"BHS","Bahamas",5,"Cat Island","BS.CI",NA,"","District","District","","Ilha do Gato|Isla del Gato"
6,18,"BHS","Bahamas",6,"Central Abaco","BS.CB",NA,"","District","District","",""
7,18,"BHS","Bahamas",7,"Central Andros","BS.CN",NA,"","District","District","",""
8,18,"BHS","Bahamas",8,"Central Eleuthera","BS.CE",NA,"","District","District","",""
9,18,"BHS","Bahamas",9,"City of Freeport","BS.FP",NA,"","District","District","",""
10,18,"BHS","Bahamas",10,"Crooked Island","BS.CK",NA,"","District","District","",""
11,18,"BHS","Bahamas",11,"East Grand Bahama","BS.EB",NA,"","District","District","",""
12,18,"BHS","Bahamas",12,"Exuma","BS.EM",NA,"","District","District","",""
13,18,"BHS","Bahamas",13,"Grand Cay","BS.GC",NA,"","District","District","",""
14,18,"BHS","Bahamas",14,"Harbour Island","BS.HB",NA,"","District","District","",""
15,18,"BHS","Bahamas",15,"Hope Town","BS.HT",NA,"","District","District","",""
16,18,"BHS","Bahamas",16,"Inagua","BS.IN",NA,"","District","District","","Inague"
17,18,"BHS","Bahamas",17,"Long Island","BS.LI",NA,"","District","District","","Ilha Longa|Isla Larga"
18,18,"BHS","Bahamas",18,"Mangrove Cay","BS.MC",NA,"","District","District","",""
19,18,"BHS","Bahamas",19,"Mayaguana","BS.MG",NA,"","District","District","",""
20,18,"BHS","Bahamas",20,"Moore's Island","BS.MI",NA,"","District","District","",""
21,18,"BHS","Bahamas",21,"New Providence","BS.NW",NA,"","District","District","","Nova Providência|Nueva Providencia"
22,18,"BHS","Bahamas",22,"North Abaco","BS.NB",NA,"","District","District","",""
23,18,"BHS","Bahamas",23,"North Andros","BS.NN",NA,"","District","District","",""
24,18,"BHS","Bahamas",24,"North Eleuthera","BS.NE",NA,"","District","District","",""
25,18,"BHS","Bahamas",25,"Ragged Island","BS.RI",NA,"","District","District","",""
26,18,"BHS","Bahamas",26,"Rum Cay","BS.RC",NA,"","District","District","",""
27,18,"BHS","Bahamas",27,"San Salvador","BS.SS",NA,"","District","District","","São Salvador|Watling Island"
28,18,"BHS","Bahamas",28,"South Abaco","BS.SB",NA,"","District","District","",""
29,18,"BHS","Bahamas",29,"South Andros","BS.SN",NA,"","District","District","",""
30,18,"BHS","Bahamas",30,"South Eleuthera","BS.SE",NA,"","District","District","",""
31,18,"BHS","Bahamas",31,"Spanish Wells","BS.SW",NA,"","District","District","",""
32,18,"BHS","Bahamas",32,"West Grand Bahama","BS.WB",NA,"","District","District","",""
