index;time;month;year;day;Central_Eleuthera;Central_Abaco;Inagua;North_Eleuthera;Grand_Cay;Crooked_Island;Mayaguana;Rum_Cay;South_Eleuthera;Harbour_Island;New_Providence;North_Andros;Long_Island;North_Abaco;Mangrove_Cay;Hope_Town;West_Grand_Bahama;South_Abaco;Biminis;City_of_Freeport;East_Grand_Bahama;Moore's_Island;Berry_Islands;Spanish_Wells;South_Andros;Black_Point;Cat_Island;San_Salvador;Ragged_Island;Exuma;Acklins;Central_Andros;BHS
0;-17883;1;1901;15;19.206857433098406;1.0974902354943568e+34;5.298686008922146e+35;19.026200600469693;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;19.700000000000003;18.5;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;17.38843483897336;19.900027267267316;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;18.636961837865766;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;19.778534758015347;6.975560446179644e+35
1;-17852;2;1901;15;19.1068574330984;1.0974902354943568e+34;5.298686008922146e+35;18.846959318867565;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;19.6;18.3;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;16.844217419486682;19.800027267267314;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;18.436961837865766;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;19.782059219811856;6.975560446179644e+35
2;-17824;3;1901;15;21.505485946478725;1.0974902354943568e+34;5.298686008922146e+35;21.45272094103591;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;21.900000000000002;21.200000000000003;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;20.167347741539956;22.10001636036039;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;21.268480918932884;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;22.03362454984561;6.975560446179644e+35
3;-17793;4;1901;15;22.402742973239363;1.0974902354943568e+34;5.298686008922146e+35;22.257719973112422;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;22.6;21.900000000000002;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;20.95578258051332;22.800016360360388;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;21.991307891910512;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;22.75386875684305;6.975560446179644e+35
4;-17763;5;1901;15;24.302742973239365;1.0974902354943568e+34;5.298686008922146e+35;24.268480627357274;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;24.5;24.1;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;23.932652258460045;24.8;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;24.145653945955257;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;24.768458293257662;6.975560446179644e+35
5;-17732;6;1901;15;27.001371486619686;1.0974902354943568e+34;5.298686008922146e+35;27.0;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;27.1;27.0;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;26.844217419486682;27.200000000000003;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;27.0;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;27.246107560315426;6.975560446179644e+35
6;-17702;7;1901;15;27.898628513380327;1.0974902354943568e+34;5.298686008922146e+35;27.9;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;27.8;27.900000000000002;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;27.944217419486684;27.99999454654654;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;27.900000000000006;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;27.89979125771473;6.975560446179644e+35
7;-17671;8;1901;15;27.800000000000004;1.0974902354943568e+34;5.298686008922146e+35;27.800000000000004;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;27.8;27.8;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;27.844217419486682;27.89999454654654;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;27.800000000000004;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;27.894357170837935;6.975560446179644e+35
8;-17640;9;1901;15;27.900000000000006;1.0974902354943568e+34;5.298686008922146e+35;27.88424031367864;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;27.900000000000002;27.8;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;27.544217419486678;27.99999454654654;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;27.82282697297763;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;27.994357170837937;6.975560446179644e+35
9;-17610;10;1901;15;25.30274297323936;1.0974902354943568e+34;5.298686008922146e+35;25.252720941035914;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;25.5;25.0;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;24.444217419486684;25.800005453453466;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;25.068480918932885;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;25.785386780743863;6.975560446179644e+35
