index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
0;-17883;1;1901;15;123.69813458844037;121.0;141.2162259067965;121.0;129.64741424253327;121.0;121.0;121.0;121.0;121.0;124.98252251147302;121.0
1;-17852;2;1901;15;90.67027379284404;89.0;101.51480651373116;89.0;94.3531611977587;89.0;89.0;89.0;89.0;89.0;91.46537107853092;89.0
2;-17824;3;1901;15;82.92723899174311;81.0;95.4401613619975;81.0;87.17672445895235;81.0;81.0;81.0;81.0;81.0;83.84465893676645;81.0
3;-17793;4;1901;15;98.1842041906422;96.0;112.36551621026383;96.0;103.00028772014599;96.0;96.0;96.0;96.0;96.0;99.22394679500198;96.0
4;-17763;5;1901;15;141.4411693895413;139.0;157.29087105853017;139.0;146.82385098133963;139.0;139.0;139.0;139.0;139.0;142.60323465323748;139.0
5;-17732;6;1901;15;190.5417911933945;189.0;200.552129089598;189.0;193.9413795671619;189.0;189.0;189.0;189.0;189.0;191.27572714941317;189.0
6;-17702;7;1901;15;225.51393039779816;225.0;228.85070969653268;225.0;226.64712652238728;225.0;225.0;225.0;225.0;225.0;225.75857571647106;225.0
7;-17671;8;1901;15;230.0;230.0;230.0;230.0;230.0;230.0;230.0;230.0;230.0;230.0;230.0;230.0
8;-17640;9;1901;15;209.6145522016514;210.0;207.1119677276005;210.0;208.76465510820952;210.0;210.0;210.0;210.0;210.0;209.43106821264672;210.0
9;-17610;10;1901;15;222.5139303977982;222.0;225.85070969653268;222.0;223.64712652238728;222.0;222.0;222.0;222.0;222.0;222.75857571647106;222.0
10;-17579;11;1901;15;223.67027379284406;222.0;234.51480651373117;222.0;227.3531611977587;222.0;222.0;222.0;222.0;222.0;224.46537107853092;222.0
11;-17549;12;1901;15;172.08358238678898;169.0;192.104258179196;169.0;178.88275913432375;169.0;169.0;169.0;169.0;169.0;173.55145429882631;169.0
