"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,59,"CUB","Cuba",1,"Camagüey","CU.CM",NA,"","Provincia","Province","","Puerto Principe"
2,59,"CUB","Cuba",2,"Ciego de Ávila","CU.CA",NA,"","Provincia","Province","",""
3,59,"CUB","Cuba",3,"Cienfuegos","CU.CF",NA,"","Provincia","Province","",""
4,59,"CUB","Cuba",4,"Ciudad de la Habana","CU.CH",NA,"","Provincia","Province","",""
5,59,"CUB","Cuba",5,"Granma","CU.GR",NA,"","Provincia","Province","",""
6,59,"CUB","Cuba",6,"Guantánamo","CU.GU",NA,"","Provincia","Province","",""
7,59,"CUB","Cuba",7,"Holguín","CU.HO",NA,"","Provincia","Province","",""
8,59,"CUB","Cuba",8,"Isla de la Juventud","CU.IJ",NA,"","Provincia","Province","","Puerto Principe"
9,59,"CUB","Cuba",9,"La Habana","CU.LH",NA,"","Provincia","Province","",""
10,59,"CUB","Cuba",10,"Las Tunas","CU.LT",NA,"","Provincia","Province","",""
11,59,"CUB","Cuba",11,"Matanzas","CU.MA",NA,"","Provincia","Province","",""
12,59,"CUB","Cuba",12,"Mayabeque","CU.MQ",NA,"","Provincia","Province","",""
13,59,"CUB","Cuba",13,"Pinar del Río","CU.PR",NA,"","Provincia","Province","",""
14,59,"CUB","Cuba",14,"Sancti Spíritus","CU.SS",NA,"","Provincia","Province","",""
15,59,"CUB","Cuba",15,"Santiago de Cuba","CU.SC",NA,"","Provincia","Province","",""
16,59,"CUB","Cuba",16,"Villa Clara","CU.VC",NA,"","Provincia","Province","",""
