"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,59,"CUB","Cuba",1,"Camagüey",1,"Camagüey","CU.CM.CA",NA,"","Municipio","Municipality","",""
2,59,"CUB","Cuba",1,"Camagüey",2,"Carlos Manuel de Céspedes","CU.CM.CC",NA,"","Municipio","Municipality","",""
3,59,"CUB","Cuba",1,"Camagüey",3,"Esmeralda","CU.CM.ES",NA,"","Municipio","Municipality","",""
4,59,"CUB","Cuba",1,"Camagüey",4,"Florida","CU.CM.FL",NA,"","Municipio","Municipality","",""
5,59,"CUB","Cuba",1,"Camagüey",5,"Guáimaro","CU.CM.GU",NA,"","Municipio","Municipality","",""
6,59,"CUB","Cuba",1,"Camagüey",6,"Jimaguayú","CU.CM.JI",NA,"","Municipio","Municipality","",""
7,59,"CUB","Cuba",1,"Camagüey",7,"Minas","CU.CM.MI",NA,"","Municipio","Municipality","",""
8,59,"CUB","Cuba",1,"Camagüey",8,"Najasa","CU.CM.NA",NA,"","Municipio","Municipality","",""
9,59,"CUB","Cuba",1,"Camagüey",9,"Nuevitas","CU.CM.NU",NA,"","Municipio","Municipality","",""
10,59,"CUB","Cuba",1,"Camagüey",10,"Santa Cruz del Sur","CU.CM.SS",NA,"","Municipio","Municipality","",""
11,59,"CUB","Cuba",1,"Camagüey",11,"Sibanicú","CU.CM.SI",NA,"","Municipio","Municipality","",""
12,59,"CUB","Cuba",1,"Camagüey",12,"Sierra de Cubitas","CU.CM.SC",NA,"","Municipio","Municipality","",""
13,59,"CUB","Cuba",1,"Camagüey",13,"Vertientes","CU.CM.VE",NA,"","Municipio","Municipality","",""
14,59,"CUB","Cuba",2,"Ciego de Ávila",14,"Baraguá","CU.CA.BA",NA,"","Municipio","Municipality","",""
15,59,"CUB","Cuba",2,"Ciego de Ávila",15,"Bolivia","CU.CA.BO",NA,"","Municipio","Municipality","",""
16,59,"CUB","Cuba",2,"Ciego de Ávila",16,"Chambas","CU.CA.CH",NA,"","Municipio","Municipality","",""
17,59,"CUB","Cuba",2,"Ciego de Ávila",17,"Ciego de ávila","CU.CA.CA",NA,"","Municipio","Municipality","",""
18,59,"CUB","Cuba",2,"Ciego de Ávila",18,"Ciro Redodo","CU.CA.CR",NA,"","Municipio","Municipality","",""
19,59,"CUB","Cuba",2,"Ciego de Ávila",19,"Florencia","CU.CA.FL",NA,"","Municipio","Municipality","",""
20,59,"CUB","Cuba",2,"Ciego de Ávila",20,"Majagua","CU.CA.MA",NA,"","Municipio","Municipality","",""
21,59,"CUB","Cuba",2,"Ciego de Ávila",21,"Morón","CU.CA.MO",NA,"","Municipio","Municipality","",""
22,59,"CUB","Cuba",2,"Ciego de Ávila",22,"Primero de Enero","CU.CA.PE",NA,"","Municipio","Municipality","",""
23,59,"CUB","Cuba",2,"Ciego de Ávila",23,"Venezuela","CU.CA.VE",NA,"","Municipio","Municipality","",""
24,59,"CUB","Cuba",3,"Cienfuegos",24,"Abreus","CU.CF.AB",NA,"","Municipio","Municipality","",""
25,59,"CUB","Cuba",3,"Cienfuegos",25,"Aguada de Pasajeros","CU.CF.AP",NA,"","Municipio","Municipality","",""
26,59,"CUB","Cuba",3,"Cienfuegos",26,"Ciefuegos","CU.CF.CI",NA,"","Municipio","Municipality","",""
27,59,"CUB","Cuba",3,"Cienfuegos",27,"Cruces","CU.CF.CR",NA,"","Municipio","Municipality","",""
28,59,"CUB","Cuba",3,"Cienfuegos",28,"Cumanayagua","CU.CF.CU",NA,"","Municipio","Municipality","",""
29,59,"CUB","Cuba",3,"Cienfuegos",29,"Lajas","CU.CF.LA",NA,"","Municipio","Municipality","",""
30,59,"CUB","Cuba",3,"Cienfuegos",30,"Palmira","CU.CF.PA",NA,"","Municipio","Municipality","",""
31,59,"CUB","Cuba",3,"Cienfuegos",31,"Rodas","CU.CF.RO",NA,"","Municipio","Municipality","",""
32,59,"CUB","Cuba",4,"Ciudad de la Habana",32,"Arroyo Naranjo","CU.CH.AN",NA,"","Municipio","Municipality","",""
33,59,"CUB","Cuba",4,"Ciudad de la Habana",33,"Boyeros","CU.CH.BO",NA,"","Municipio","Municipality","",""
34,59,"CUB","Cuba",4,"Ciudad de la Habana",34,"Centro Habana","CU.CH.CH",NA,"","Municipio","Municipality","",""
35,59,"CUB","Cuba",4,"Ciudad de la Habana",35,"Cerro","CU.CH.CE",NA,"","Municipio","Municipality","",""
36,59,"CUB","Cuba",4,"Ciudad de la Habana",36,"Cotorro","CU.CH.CO",NA,"","Municipio","Municipality","",""
37,59,"CUB","Cuba",4,"Ciudad de la Habana",37,"Diez de Octubre","CU.CH.DO",NA,"","Municipio","Municipality","",""
38,59,"CUB","Cuba",4,"Ciudad de la Habana",38,"Guanabacoa","CU.CH.GU",NA,"","Municipio","Municipality","",""
39,59,"CUB","Cuba",4,"Ciudad de la Habana",39,"La Habana del Este","CU.CH.HE",NA,"","Municipio","Municipality","",""
40,59,"CUB","Cuba",4,"Ciudad de la Habana",40,"La Habana Vieja","CU.CH.HV",NA,"","Municipio","Municipality","",""
41,59,"CUB","Cuba",4,"Ciudad de la Habana",41,"La Lisa","CU.CH.LL",NA,"","Municipio","Municipality","",""
42,59,"CUB","Cuba",4,"Ciudad de la Habana",42,"Marianao","CU.CH.MA",NA,"","Municipio","Municipality","",""
43,59,"CUB","Cuba",4,"Ciudad de la Habana",43,"Playa","CU.CH.PL",NA,"","Municipio","Municipality","",""
44,59,"CUB","Cuba",4,"Ciudad de la Habana",44,"Plaza de la Revolución","CU.CH.PR",NA,"","Municipio","Municipality","",""
45,59,"CUB","Cuba",4,"Ciudad de la Habana",45,"Regla","CU.CH.RE",NA,"","Municipio","Municipality","",""
46,59,"CUB","Cuba",4,"Ciudad de la Habana",46,"San Miguel del Padrón","CU.CH.SM",NA,"","Municipio","Municipality","",""
47,59,"CUB","Cuba",5,"Granma",47,"Bartolomé Masó","CU.GR.BM",NA,"","Municipio","Municipality","",""
48,59,"CUB","Cuba",5,"Granma",48,"Bayamo","CU.GR.BY",NA,"","Municipio","Municipality","",""
