index;time;month;year;day;Bodden_Town;Cayman_Brac;West_Bay;Little_Cayman;East_End;George_Town;CYM;North_Side
0;-17883;1;1901;15;107.0;9.969209968386869e+36;107.0;9.969209968386869e+36;107.0;107.0;2.7616445185384824e+36;107.0
1;-17852;2;1901;15;26.1;9.969209968386869e+36;26.1;9.969209968386869e+36;26.1;26.1;2.7616445185384824e+36;26.1
2;-17824;3;1901;15;23.900000000000002;9.969209968386869e+36;23.900000000000002;9.969209968386869e+36;23.900000000000002;23.900000000000002;2.7616445185384824e+36;23.900000000000002
3;-17793;4;1901;15;10.0;9.969209968386869e+36;10.0;9.969209968386869e+36;10.0;10.0;2.7616445185384824e+36;10.0
4;-17763;5;1901;15;191.4;9.969209968386869e+36;191.4;9.969209968386869e+36;191.4;191.4;2.7616445185384824e+36;191.4
5;-17732;6;1901;15;235.3;9.969209968386869e+36;235.3;9.969209968386869e+36;235.3;235.3;2.7616445185384824e+36;235.3
6;-17702;7;1901;15;273.6;9.969209968386869e+36;273.6;9.969209968386869e+36;273.6;273.6;2.7616445185384824e+36;273.6
7;-17671;8;1901;15;161.9;9.969209968386869e+36;161.9;9.969209968386869e+36;161.9;161.9;2.7616445185384824e+36;161.9
8;-17640;9;1901;15;203.8;9.969209968386869e+36;203.8;9.969209968386869e+36;203.8;203.8;2.7616445185384824e+36;203.8
9;-17610;10;1901;15;148.5;9.969209968386869e+36;148.5;9.969209968386869e+36;148.5;148.5;2.7616445185384824e+36;148.5
10;-17579;11;1901;15;76.0;9.969209968386869e+36;76.0;9.969209968386869e+36;76.0;76.0;2.7616445185384824e+36;76.0
11;-17549;12;1901;15;68.2;9.969209968386869e+36;68.2;9.969209968386869e+36;68.2;68.2;2.7616445185384824e+36;68.2
12;-17518;1;1902;15;85.60000000000001;9.969209968386869e+36;85.60000000000001;9.969209968386869e+36;85.60000000000001;85.60000000000001;2.7616445185384824e+36;85.60000000000001
13;-17487;2;1902;15;28.700000000000003;9.969209968386869e+36;28.700000000000003;9.969209968386869e+36;28.700000000000003;28.700000000000003;2.7616445185384824e+36;28.700000000000003
14;-17459;3;1902;15;24.5;9.969209968386869e+36;24.5;9.969209968386869e+36;24.5;24.5;2.7616445185384824e+36;24.5
15;-17428;4;1902;15;15.200000000000001;9.969209968386869e+36;15.200000000000001;9.969209968386869e+36;15.200000000000001;15.200000000000001;2.7616445185384824e+36;15.200000000000001
16;-17398;5;1902;15;90.30000000000001;9.969209968386869e+36;90.30000000000001;9.969209968386869e+36;90.30000000000001;90.30000000000001;2.7616445185384824e+36;90.30000000000001
17;-17367;6;1902;15;266.2;9.969209968386869e+36;266.2;9.969209968386869e+36;266.2;266.2;2.7616445185384824e+36;266.2
18;-17337;7;1902;15;104.30000000000001;9.969209968386869e+36;104.30000000000001;9.969209968386869e+36;104.30000000000001;104.30000000000001;2.7616445185384824e+36;104.30000000000001
19;-17306;8;1902;15;141.6;9.969209968386869e+36;141.6;9.969209968386869e+36;141.6;141.6;2.7616445185384824e+36;141.6
20;-17275;9;1902;15;139.9;9.969209968386869e+36;139.9;9.969209968386869e+36;139.9;139.9;2.7616445185384824e+36;139.9
21;-17245;10;1902;15;118.7;9.969209968386869e+36;118.7;9.969209968386869e+36;118.7;118.7;2.7616445185384824e+36;118.7
22;-17214;11;1902;15;130.6;9.969209968386869e+36;130.6;9.969209968386869e+36;130.6;130.6;2.7616445185384824e+36;130.6
23;-17184;12;1902;15;45.7;9.969209968386869e+36;45.7;9.969209968386869e+36;45.7;45.7;2.7616445185384824e+36;45.7
24;-17153;1;1903;15;57.5;9.969209968386869e+36;57.5;9.969209968386869e+36;57.5;57.5;2.7616445185384824e+36;57.5
25;-17122;2;1903;15;32.9;9.969209968386869e+36;32.9;9.969209968386869e+36;32.9;32.9;2.7616445185384824e+36;32.9
