index;time;month;year;day;Bodden_Town;Cayman_Brac;West_Bay;Little_Cayman;East_End;George_Town;CYM;North_Side
0;-17883;1;1901;15;24.400000000000002;9.969209968386869e+36;24.400000000000002;9.969209968386869e+36;24.400000000000002;24.400000000000002;2.7616445185384824e+36;24.400000000000002
1;-17852;2;1901;15;25.1;9.969209968386869e+36;25.1;9.969209968386869e+36;25.1;25.1;2.7616445185384824e+36;25.1
2;-17824;3;1901;15;25.6;9.969209968386869e+36;25.6;9.969209968386869e+36;25.6;25.6;2.7616445185384824e+36;25.6
3;-17793;4;1901;15;25.400000000000002;9.969209968386869e+36;25.400000000000002;9.969209968386869e+36;25.400000000000002;25.400000000000002;2.7616445185384824e+36;25.400000000000002
4;-17763;5;1901;15;27.200000000000003;9.969209968386869e+36;27.200000000000003;9.969209968386869e+36;27.200000000000003;27.200000000000003;2.7616445185384824e+36;27.200000000000003
5;-17732;6;1901;15;28.6;9.969209968386869e+36;28.6;9.969209968386869e+36;28.6;28.6;2.7616445185384824e+36;28.6
6;-17702;7;1901;15;27.700000000000003;9.969209968386869e+36;27.700000000000003;9.969209968386869e+36;27.700000000000003;27.700000000000003;2.7616445185384824e+36;27.700000000000003
7;-17671;8;1901;15;28.5;9.969209968386869e+36;28.5;9.969209968386869e+36;28.5;28.5;2.7616445185384824e+36;28.5
8;-17640;9;1901;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
9;-17610;10;1901;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
10;-17579;11;1901;15;25.6;9.969209968386869e+36;25.6;9.969209968386869e+36;25.6;25.6;2.7616445185384824e+36;25.6
11;-17549;12;1901;15;25.1;9.969209968386869e+36;25.1;9.969209968386869e+36;25.1;25.1;2.7616445185384824e+36;25.1
12;-17518;1;1902;15;23.5;9.969209968386869e+36;23.5;9.969209968386869e+36;23.5;23.5;2.7616445185384824e+36;23.5
13;-17487;2;1902;15;24.6;9.969209968386869e+36;24.6;9.969209968386869e+36;24.6;24.6;2.7616445185384824e+36;24.6
14;-17459;3;1902;15;25.900000000000002;9.969209968386869e+36;25.900000000000002;9.969209968386869e+36;25.900000000000002;25.900000000000002;2.7616445185384824e+36;25.900000000000002
15;-17428;4;1902;15;26.200000000000003;9.969209968386869e+36;26.200000000000003;9.969209968386869e+36;26.200000000000003;26.200000000000003;2.7616445185384824e+36;26.200000000000003
16;-17398;5;1902;15;27.900000000000002;9.969209968386869e+36;27.900000000000002;9.969209968386869e+36;27.900000000000002;27.900000000000002;2.7616445185384824e+36;27.900000000000002
17;-17367;6;1902;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
18;-17337;7;1902;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
19;-17306;8;1902;15;28.8;9.969209968386869e+36;28.8;9.969209968386869e+36;28.8;28.8;2.7616445185384824e+36;28.8
20;-17275;9;1902;15;28.700000000000003;9.969209968386869e+36;28.700000000000003;9.969209968386869e+36;28.700000000000003;28.700000000000003;2.7616445185384824e+36;28.700000000000003
21;-17245;10;1902;15;28.400000000000002;9.969209968386869e+36;28.400000000000002;9.969209968386869e+36;28.400000000000002;28.400000000000002;2.7616445185384824e+36;28.400000000000002
22;-17214;11;1902;15;27.3;9.969209968386869e+36;27.3;9.969209968386869e+36;27.3;27.3;2.7616445185384824e+36;27.3
23;-17184;12;1902;15;26.1;9.969209968386869e+36;26.1;9.969209968386869e+36;26.1;26.1;2.7616445185384824e+36;26.1
24;-17153;1;1903;15;25.3;9.969209968386869e+36;25.3;9.969209968386869e+36;25.3;25.3;2.7616445185384824e+36;25.3
25;-17122;2;1903;15;26.400000000000002;9.969209968386869e+36;26.400000000000002;9.969209968386869e+36;26.400000000000002;26.400000000000002;2.7616445185384824e+36;26.400000000000002
26;-17094;3;1903;15;26.3;9.969209968386869e+36;26.3;9.969209968386869e+36;26.3;26.3;2.7616445185384824e+36;26.3
27;-17063;4;1903;15;26.0;9.969209968386869e+36;26.0;9.969209968386869e+36;26.0;26.0;2.7616445185384824e+36;26.0
28;-17033;5;1903;15;26.900000000000002;9.969209968386869e+36;26.900000000000002;9.969209968386869e+36;26.900000000000002;26.900000000000002;2.7616445185384824e+36;26.900000000000002
29;-17002;6;1903;15;28.5;9.969209968386869e+36;28.5;9.969209968386869e+36;28.5;28.5;2.7616445185384824e+36;28.5
30;-16972;7;1903;15;28.5;9.969209968386869e+36;28.5;9.969209968386869e+36;28.5;28.5;2.7616445185384824e+36;28.5
31;-16941;8;1903;15;28.6;9.969209968386869e+36;28.6;9.969209968386869e+36;28.6;28.6;2.7616445185384824e+36;28.6
32;-16910;9;1903;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
33;-16880;10;1903;15;27.6;9.969209968386869e+36;27.6;9.969209968386869e+36;27.6;27.6;2.7616445185384824e+36;27.6
34;-16849;11;1903;15;26.1;9.969209968386869e+36;26.1;9.969209968386869e+36;26.1;26.1;2.7616445185384824e+36;26.1
35;-16819;12;1903;15;24.700000000000003;9.969209968386869e+36;24.700000000000003;9.969209968386869e+36;24.700000000000003;24.700000000000003;2.7616445185384824e+36;24.700000000000003
36;-16788;1;1904;15;24.6;9.969209968386869e+36;24.6;9.969209968386869e+36;24.6;24.6;2.7616445185384824e+36;24.6
37;-16757;2;1904;15;25.3;9.969209968386869e+36;25.3;9.969209968386869e+36;25.3;25.3;2.7616445185384824e+36;25.3
38;-16728;3;1904;15;25.400000000000002;9.969209968386869e+36;25.400000000000002;9.969209968386869e+36;25.400000000000002;25.400000000000002;2.7616445185384824e+36;25.400000000000002
39;-16697;4;1904;15;26.3;9.969209968386869e+36;26.3;9.969209968386869e+36;26.3;26.3;2.7616445185384824e+36;26.3
40;-16667;5;1904;15;27.3;9.969209968386869e+36;27.3;9.969209968386869e+36;27.3;27.3;2.7616445185384824e+36;27.3
41;-16636;6;1904;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
42;-16606;7;1904;15;27.900000000000002;9.969209968386869e+36;27.900000000000002;9.969209968386869e+36;27.900000000000002;27.900000000000002;2.7616445185384824e+36;27.900000000000002
43;-16575;8;1904;15;28.1;9.969209968386869e+36;28.1;9.969209968386869e+36;28.1;28.1;2.7616445185384824e+36;28.1
44;-16544;9;1904;15;28.200000000000003;9.969209968386869e+36;28.200000000000003;9.969209968386869e+36;28.200000000000003;28.200000000000003;2.7616445185384824e+36;28.200000000000003
45;-16514;10;1904;15;27.700000000000003;9.969209968386869e+36;27.700000000000003;9.969209968386869e+36;27.700000000000003;27.700000000000003;2.7616445185384824e+36;27.700000000000003
46;-16483;11;1904;15;26.200000000000003;9.969209968386869e+36;26.200000000000003;9.969209968386869e+36;26.200000000000003;26.200000000000003;2.7616445185384824e+36;26.200000000000003
47;-16453;12;1904;15;25.8;9.969209968386869e+36;25.8;9.969209968386869e+36;25.8;25.8;2.7616445185384824e+36;25.8
48;-16422;1;1905;15;22.900000000000002;9.969209968386869e+36;22.900000000000002;9.969209968386869e+36;22.900000000000002;22.900000000000002;2.7616445185384824e+36;22.900000000000002
49;-16391;2;1905;15;25.5;9.969209968386869e+36;25.5;9.969209968386869e+36;25.5;25.5;2.7616445185384824e+36;25.5
50;-16363;3;1905;15;25.900000000000002;9.969209968386869e+36;25.900000000000002;9.969209968386869e+36;25.900000000000002;25.900000000000002;2.7616445185384824e+36;25.900000000000002
51;-16332;4;1905;15;26.0;9.969209968386869e+36;26.0;9.969209968386869e+36;26.0;26.0;2.7616445185384824e+36;26.0
52;-16302;5;1905;15;28.400000000000002;9.969209968386869e+36;28.400000000000002;9.969209968386869e+36;28.400000000000002;28.400000000000002;2.7616445185384824e+36;28.400000000000002
53;-16271;6;1905;15;29.1;9.969209968386869e+36;29.1;9.969209968386869e+36;29.1;29.1;2.7616445185384824e+36;29.1
54;-16241;7;1905;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
55;-16210;8;1905;15;28.6;9.969209968386869e+36;28.6;9.969209968386869e+36;28.6;28.6;2.7616445185384824e+36;28.6
56;-16179;9;1905;15;28.700000000000003;9.969209968386869e+36;28.700000000000003;9.969209968386869e+36;28.700000000000003;28.700000000000003;2.7616445185384824e+36;28.700000000000003
57;-16149;10;1905;15;28.6;9.969209968386869e+36;28.6;9.969209968386869e+36;28.6;28.6;2.7616445185384824e+36;28.6
58;-16118;11;1905;15;27.1;9.969209968386869e+36;27.1;9.969209968386869e+36;27.1;27.1;2.7616445185384824e+36;27.1
59;-16088;12;1905;15;26.0;9.969209968386869e+36;26.0;9.969209968386869e+36;26.0;26.0;2.7616445185384824e+36;26.0
60;-16057;1;1906;15;24.8;9.969209968386869e+36;24.8;9.969209968386869e+36;24.8;24.8;2.7616445185384824e+36;24.8
61;-16026;2;1906;15;24.8;9.969209968386869e+36;24.8;9.969209968386869e+36;24.8;24.8;2.7616445185384824e+36;24.8
62;-15998;3;1906;15;25.5;9.969209968386869e+36;25.5;9.969209968386869e+36;25.5;25.5;2.7616445185384824e+36;25.5
63;-15967;4;1906;15;25.700000000000003;9.969209968386869e+36;25.700000000000003;9.969209968386869e+36;25.700000000000003;25.700000000000003;2.7616445185384824e+36;25.700000000000003
