"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,67,"DMA","Dominica",1,"Saint Andrew","DM.AN",NA,"","Parish","Parish","",""
2,67,"DMA","Dominica",2,"Saint David","DM.DA",NA,"","Parish","Parish","",""
3,67,"DMA","Dominica",3,"Saint George","DM.GO",NA,"","Parish","Parish","",""
4,67,"DMA","Dominica",4,"Saint John","DM.JN",NA,"","Parish","Parish","",""
5,67,"DMA","Dominica",5,"Saint Joseph","DM.JH",NA,"","Parish","Parish","",""
6,67,"DMA","Dominica",6,"Saint Luke","DM.LU",NA,"","Parish","Parish","",""
7,67,"DMA","Dominica",7,"Saint Mark","DM.MA",NA,"","Parish","Parish","",""
8,67,"DMA","Dominica",8,"Saint Patrick","DM.PK",NA,"","Parish","Parish","",""
9,67,"DMA","Dominica",9,"Saint Paul","DM.PL",NA,"","Parish","Parish","",""
10,67,"DMA","Dominica",10,"Saint Peter","DM.PR",NA,"","Parish","Parish","",""
