index;time;month;year;day;GLP;Basse-Terre;Pointe-a-Pitre
0;-17883;1;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
1;-17852;2;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
2;-17824;3;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
3;-17793;4;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
4;-17763;5;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
5;-17732;6;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
6;-17702;7;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
7;-17671;8;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
8;-17640;9;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
9;-17610;10;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
10;-17579;11;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
11;-17549;12;1901;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
12;-17518;1;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
13;-17487;2;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
14;-17459;3;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
15;-17428;4;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
16;-17398;5;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
17;-17367;6;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
18;-17337;7;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
19;-17306;8;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
20;-17275;9;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
21;-17245;10;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
22;-17214;11;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
23;-17184;12;1902;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
24;-17153;1;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
25;-17122;2;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
26;-17094;3;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
27;-17063;4;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
28;-17033;5;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
29;-17002;6;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
30;-16972;7;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
31;-16941;8;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
32;-16910;9;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
33;-16880;10;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
34;-16849;11;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
35;-16819;12;1903;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
36;-16788;1;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
37;-16757;2;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
38;-16728;3;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
39;-16697;4;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
40;-16667;5;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
41;-16636;6;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
42;-16606;7;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
43;-16575;8;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
44;-16544;9;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
45;-16514;10;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
46;-16483;11;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
47;-16453;12;1904;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
48;-16422;1;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
49;-16391;2;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
50;-16363;3;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
51;-16332;4;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
52;-16302;5;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
53;-16271;6;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
54;-16241;7;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
55;-16210;8;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
56;-16179;9;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
57;-16149;10;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
58;-16118;11;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
59;-16088;12;1905;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
60;-16057;1;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
61;-16026;2;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
62;-15998;3;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
63;-15967;4;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
64;-15937;5;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
65;-15906;6;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
66;-15876;7;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
67;-15845;8;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
68;-15814;9;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
69;-15784;10;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
70;-15753;11;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
71;-15723;12;1906;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
72;-15692;1;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
73;-15661;2;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
74;-15633;3;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
75;-15602;4;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
76;-15572;5;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
77;-15541;6;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
78;-15511;7;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
79;-15480;8;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
80;-15449;9;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
81;-15419;10;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
82;-15388;11;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
83;-15358;12;1907;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
84;-15327;1;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
85;-15296;2;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
86;-15267;3;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
87;-15236;4;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
88;-15206;5;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
89;-15175;6;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
90;-15145;7;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
91;-15114;8;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
92;-15083;9;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
93;-15053;10;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
94;-15022;11;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
95;-14992;12;1908;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
96;-14961;1;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
97;-14930;2;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
98;-14902;3;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
99;-14871;4;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
100;-14841;5;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
101;-14810;6;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
102;-14780;7;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
103;-14749;8;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
104;-14718;9;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
105;-14688;10;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
106;-14657;11;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
107;-14627;12;1909;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
108;-14596;1;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
109;-14565;2;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
110;-14537;3;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
111;-14506;4;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
112;-14476;5;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
113;-14445;6;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
114;-14415;7;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
115;-14384;8;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
116;-14353;9;1910;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
