index;time;month;year;day;Saint_Patrick;Saint_David;Carriacou;GRD;Saint_John;Saint_George;Saint_Andrew;Saint_Mark
0;-17883;1;1901;15;70.0;70.0;9.969209968386869e+36;1.0906223705981703e+36;70.0;3.88360345819837e+35;70.0;70.0
1;-17852;2;1901;15;48.0;48.0;9.969209968386869e+36;1.0906223705981703e+36;48.0;3.88360345819837e+35;48.0;48.0
2;-17824;3;1901;15;41.0;41.0;9.969209968386869e+36;1.0906223705981703e+36;41.0;3.88360345819837e+35;41.0;41.0
3;-17793;4;1901;15;47.0;47.0;9.969209968386869e+36;1.0906223705981703e+36;47.0;3.88360345819837e+35;47.0;47.0
4;-17763;5;1901;15;88.0;88.0;9.969209968386869e+36;1.0906223705981703e+36;88.0;3.88360345819837e+35;88.0;88.0
5;-17732;6;1901;15;156.0;156.0;9.969209968386869e+36;1.0906223705981703e+36;156.0;3.88360345819837e+35;156.0;156.0
6;-17702;7;1901;15;193.0;193.0;9.969209968386869e+36;1.0906223705981703e+36;193.0;3.88360345819837e+35;193.0;193.0
7;-17671;8;1901;15;204.0;204.0;9.969209968386869e+36;1.0906223705981703e+36;204.0;3.88360345819837e+35;204.0;204.0
8;-17640;9;1901;15;181.0;181.0;9.969209968386869e+36;1.0906223705981703e+36;181.0;3.88360345819837e+35;181.0;181.0
9;-17610;10;1901;15;193.0;193.0;9.969209968386869e+36;1.0906223705981703e+36;193.0;3.88360345819837e+35;193.0;193.0
10;-17579;11;1901;15;181.0;181.0;9.969209968386869e+36;1.0906223705981703e+36;181.0;3.88360345819837e+35;181.0;181.0
11;-17549;12;1901;15;128.0;128.0;9.969209968386869e+36;1.0906223705981703e+36;128.0;3.88360345819837e+35;128.0;128.0
12;-17518;1;1902;15;39.7;39.7;9.969209968386869e+36;1.0906223705981703e+36;39.7;3.88360345819837e+35;39.7;39.7
13;-17487;2;1902;15;28.200000000000003;28.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;28.200000000000003;3.88360345819837e+35;28.200000000000003;28.200000000000003
14;-17459;3;1902;15;29.5;29.5;9.969209968386869e+36;1.0906223705981703e+36;29.5;3.88360345819837e+35;29.5;29.5
15;-17428;4;1902;15;27.8;27.8;9.969209968386869e+36;1.0906223705981703e+36;27.8;3.88360345819837e+35;27.8;27.8
16;-17398;5;1902;15;131.3;131.3;9.969209968386869e+36;1.0906223705981703e+36;131.3;3.88360345819837e+35;131.3;131.3
17;-17367;6;1902;15;224.8;224.8;9.969209968386869e+36;1.0906223705981703e+36;224.8;3.88360345819837e+35;224.8;224.8
18;-17337;7;1902;15;193.20000000000002;193.20000000000002;9.969209968386869e+36;1.0906223705981703e+36;193.20000000000002;3.88360345819837e+35;193.20000000000002;193.20000000000002
19;-17306;8;1902;15;167.0;167.0;9.969209968386869e+36;1.0906223705981703e+36;167.0;3.88360345819837e+35;167.0;167.0
20;-17275;9;1902;15;161.8;161.8;9.969209968386869e+36;1.0906223705981703e+36;161.8;3.88360345819837e+35;161.8;161.8
21;-17245;10;1902;15;171.5;171.5;9.969209968386869e+36;1.0906223705981703e+36;171.5;3.88360345819837e+35;171.5;171.5
22;-17214;11;1902;15;232.20000000000002;232.20000000000002;9.969209968386869e+36;1.0906223705981703e+36;232.20000000000002;3.88360345819837e+35;232.20000000000002;232.20000000000002
23;-17184;12;1902;15;149.0;149.0;9.969209968386869e+36;1.0906223705981703e+36;149.0;3.88360345819837e+35;149.0;149.0
24;-17153;1;1903;15;31.1;31.1;9.969209968386869e+36;1.0906223705981703e+36;31.1;3.88360345819837e+35;31.1;31.1
25;-17122;2;1903;15;64.9;64.9;9.969209968386869e+36;1.0906223705981703e+36;64.9;3.88360345819837e+35;64.9;64.9
26;-17094;3;1903;15;40.5;40.5;9.969209968386869e+36;1.0906223705981703e+36;40.5;3.88360345819837e+35;40.5;40.5
27;-17063;4;1903;15;69.10000000000001;69.10000000000001;9.969209968386869e+36;1.0906223705981703e+36;69.10000000000001;3.88360345819837e+35;69.10000000000001;69.10000000000001
28;-17033;5;1903;15;49.0;49.0;9.969209968386869e+36;1.0906223705981703e+36;49.0;3.88360345819837e+35;49.0;49.0
29;-17002;6;1903;15;215.9;215.9;9.969209968386869e+36;1.0906223705981703e+36;215.9;3.88360345819837e+35;215.9;215.9
30;-16972;7;1903;15;179.60000000000002;179.60000000000002;9.969209968386869e+36;1.0906223705981703e+36;179.60000000000002;3.88360345819837e+35;179.60000000000002;179.60000000000002
31;-16941;8;1903;15;253.5;253.5;9.969209968386869e+36;1.0906223705981703e+36;253.5;3.88360345819837e+35;253.5;253.5
32;-16910;9;1903;15;174.70000000000002;174.70000000000002;9.969209968386869e+36;1.0906223705981703e+36;174.70000000000002;3.88360345819837e+35;174.70000000000002;174.70000000000002
33;-16880;10;1903;15;166.5;166.5;9.969209968386869e+36;1.0906223705981703e+36;166.5;3.88360345819837e+35;166.5;166.5
34;-16849;11;1903;15;157.20000000000002;157.20000000000002;9.969209968386869e+36;1.0906223705981703e+36;157.20000000000002;3.88360345819837e+35;157.20000000000002;157.20000000000002
35;-16819;12;1903;15;183.5;183.5;9.969209968386869e+36;1.0906223705981703e+36;183.5;3.88360345819837e+35;183.5;183.5
36;-16788;1;1904;15;66.0;66.0;9.969209968386869e+36;1.0906223705981703e+36;66.0;3.88360345819837e+35;66.0;66.0
37;-16757;2;1904;15;45.400000000000006;45.400000000000006;9.969209968386869e+36;1.0906223705981703e+36;45.400000000000006;3.88360345819837e+35;45.400000000000006;45.400000000000006
38;-16728;3;1904;15;48.0;48.0;9.969209968386869e+36;1.0906223705981703e+36;48.0;3.88360345819837e+35;48.0;48.0
39;-16697;4;1904;15;23.3;23.3;9.969209968386869e+36;1.0906223705981703e+36;23.3;3.88360345819837e+35;23.3;23.3
40;-16667;5;1904;15;85.7;85.7;9.969209968386869e+36;1.0906223705981703e+36;85.7;3.88360345819837e+35;85.7;85.7
41;-16636;6;1904;15;89.2;89.2;9.969209968386869e+36;1.0906223705981703e+36;89.2;3.88360345819837e+35;89.2;89.2
42;-16606;7;1904;15;216.10000000000002;216.10000000000002;9.969209968386869e+36;1.0906223705981703e+36;216.10000000000002;3.88360345819837e+35;216.10000000000002;216.10000000000002
