index;time;month;year;day;Saint_Patrick;Saint_David;Carriacou;GRD;Saint_John;Saint_George;Saint_Andrew;Saint_Mark
0;-17883;1;1901;15;25.1;25.1;9.969209968386869e+36;1.0906223705981703e+36;25.1;3.88360345819837e+35;25.1;25.1
1;-17852;2;1901;15;25.400000000000002;25.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;25.400000000000002;3.88360345819837e+35;25.400000000000002;25.400000000000002
2;-17824;3;1901;15;25.8;25.8;9.969209968386869e+36;1.0906223705981703e+36;25.8;3.88360345819837e+35;25.8;25.8
3;-17793;4;1901;15;26.6;26.6;9.969209968386869e+36;1.0906223705981703e+36;26.6;3.88360345819837e+35;26.6;26.6
4;-17763;5;1901;15;27.5;27.5;9.969209968386869e+36;1.0906223705981703e+36;27.5;3.88360345819837e+35;27.5;27.5
5;-17732;6;1901;15;27.200000000000003;27.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;27.200000000000003;3.88360345819837e+35;27.200000000000003;27.200000000000003
6;-17702;7;1901;15;26.8;26.8;9.969209968386869e+36;1.0906223705981703e+36;26.8;3.88360345819837e+35;26.8;26.8
7;-17671;8;1901;15;27.200000000000003;27.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;27.200000000000003;3.88360345819837e+35;27.200000000000003;27.200000000000003
8;-17640;9;1901;15;27.200000000000003;27.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;27.200000000000003;3.88360345819837e+35;27.200000000000003;27.200000000000003
9;-17610;10;1901;15;26.900000000000002;26.900000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.900000000000002;3.88360345819837e+35;26.900000000000002;26.900000000000002
10;-17579;11;1901;15;26.400000000000002;26.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.400000000000002;3.88360345819837e+35;26.400000000000002;26.400000000000002
11;-17549;12;1901;15;25.700000000000003;25.700000000000003;9.969209968386869e+36;1.0906223705981703e+36;25.700000000000003;3.88360345819837e+35;25.700000000000003;25.700000000000003
12;-17518;1;1902;15;25.1;25.1;9.969209968386869e+36;1.0906223705981703e+36;25.1;3.88360345819837e+35;25.1;25.1
13;-17487;2;1902;15;25.400000000000002;25.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;25.400000000000002;3.88360345819837e+35;25.400000000000002;25.400000000000002
14;-17459;3;1902;15;25.5;25.5;9.969209968386869e+36;1.0906223705981703e+36;25.5;3.88360345819837e+35;25.5;25.5
15;-17428;4;1902;15;26.3;26.3;9.969209968386869e+36;1.0906223705981703e+36;26.3;3.88360345819837e+35;26.3;26.3
16;-17398;5;1902;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
17;-17367;6;1902;15;27.0;27.0;9.969209968386869e+36;1.0906223705981703e+36;27.0;3.88360345819837e+35;27.0;27.0
18;-17337;7;1902;15;26.900000000000002;26.900000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.900000000000002;3.88360345819837e+35;26.900000000000002;26.900000000000002
19;-17306;8;1902;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
20;-17275;9;1902;15;27.0;27.0;9.969209968386869e+36;1.0906223705981703e+36;27.0;3.88360345819837e+35;27.0;27.0
21;-17245;10;1902;15;26.8;26.8;9.969209968386869e+36;1.0906223705981703e+36;26.8;3.88360345819837e+35;26.8;26.8
22;-17214;11;1902;15;26.400000000000002;26.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.400000000000002;3.88360345819837e+35;26.400000000000002;26.400000000000002
23;-17184;12;1902;15;25.700000000000003;25.700000000000003;9.969209968386869e+36;1.0906223705981703e+36;25.700000000000003;3.88360345819837e+35;25.700000000000003;25.700000000000003
24;-17153;1;1903;15;25.3;25.3;9.969209968386869e+36;1.0906223705981703e+36;25.3;3.88360345819837e+35;25.3;25.3
25;-17122;2;1903;15;25.200000000000003;25.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;25.200000000000003;3.88360345819837e+35;25.200000000000003;25.200000000000003
26;-17094;3;1903;15;25.6;25.6;9.969209968386869e+36;1.0906223705981703e+36;25.6;3.88360345819837e+35;25.6;25.6
27;-17063;4;1903;15;26.400000000000002;26.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.400000000000002;3.88360345819837e+35;26.400000000000002;26.400000000000002
28;-17033;5;1903;15;27.5;27.5;9.969209968386869e+36;1.0906223705981703e+36;27.5;3.88360345819837e+35;27.5;27.5
29;-17002;6;1903;15;27.5;27.5;9.969209968386869e+36;1.0906223705981703e+36;27.5;3.88360345819837e+35;27.5;27.5
30;-16972;7;1903;15;26.900000000000002;26.900000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.900000000000002;3.88360345819837e+35;26.900000000000002;26.900000000000002
31;-16941;8;1903;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
32;-16910;9;1903;15;27.0;27.0;9.969209968386869e+36;1.0906223705981703e+36;27.0;3.88360345819837e+35;27.0;27.0
33;-16880;10;1903;15;26.900000000000002;26.900000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.900000000000002;3.88360345819837e+35;26.900000000000002;26.900000000000002
34;-16849;11;1903;15;26.400000000000002;26.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.400000000000002;3.88360345819837e+35;26.400000000000002;26.400000000000002
35;-16819;12;1903;15;25.6;25.6;9.969209968386869e+36;1.0906223705981703e+36;25.6;3.88360345819837e+35;25.6;25.6
36;-16788;1;1904;15;25.1;25.1;9.969209968386869e+36;1.0906223705981703e+36;25.1;3.88360345819837e+35;25.1;25.1
37;-16757;2;1904;15;25.0;25.0;9.969209968386869e+36;1.0906223705981703e+36;25.0;3.88360345819837e+35;25.0;25.0
38;-16728;3;1904;15;25.5;25.5;9.969209968386869e+36;1.0906223705981703e+36;25.5;3.88360345819837e+35;25.5;25.5
39;-16697;4;1904;15;26.1;26.1;9.969209968386869e+36;1.0906223705981703e+36;26.1;3.88360345819837e+35;26.1;26.1
40;-16667;5;1904;15;27.200000000000003;27.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;27.200000000000003;3.88360345819837e+35;27.200000000000003;27.200000000000003
41;-16636;6;1904;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
42;-16606;7;1904;15;26.700000000000003;26.700000000000003;9.969209968386869e+36;1.0906223705981703e+36;26.700000000000003;3.88360345819837e+35;26.700000000000003;26.700000000000003
43;-16575;8;1904;15;26.8;26.8;9.969209968386869e+36;1.0906223705981703e+36;26.8;3.88360345819837e+35;26.8;26.8
44;-16544;9;1904;15;26.900000000000002;26.900000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.900000000000002;3.88360345819837e+35;26.900000000000002;26.900000000000002
45;-16514;10;1904;15;26.700000000000003;26.700000000000003;9.969209968386869e+36;1.0906223705981703e+36;26.700000000000003;3.88360345819837e+35;26.700000000000003;26.700000000000003
