"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,193,"KNA","Saint Kitts and Nevis",1,"Christ Church Nichola Town","KN.CC",NA,"","Parish","Parish","",""
2,193,"KNA","Saint Kitts and Nevis",2,"Saint Anne Sandy Point","KN.AS",NA,"","Parish","Parish","",""
3,193,"KNA","Saint Kitts and Nevis",3,"Saint George Basseterre","KN.GB",NA,"","Parish","Parish","",""
4,193,"KNA","Saint Kitts and Nevis",4,"Saint George Gingerland","KN.GG",NA,"","Parish","Parish","",""
5,193,"KNA","Saint Kitts and Nevis",5,"Saint James Windward","KN.JW",NA,"","Parish","Parish","",""
6,193,"KNA","Saint Kitts and Nevis",6,"Saint John Capisterre","KN.JC",NA,"","Parish","Parish","",""
7,193,"KNA","Saint Kitts and Nevis",7,"Saint John Figtree","KN.JF",NA,"","Parish","Parish","",""
8,193,"KNA","Saint Kitts and Nevis",8,"Saint Mary Cayon","KN.MC",NA,"","Parish","Parish","",""
9,193,"KNA","Saint Kitts and Nevis",9,"Saint Paul Capisterre","KN.PP",NA,"","Parish","Parish","",""
10,193,"KNA","Saint Kitts and Nevis",10,"Saint Paul Charlestown","KN.PL",NA,"","Parish","Parish","",""
11,193,"KNA","Saint Kitts and Nevis",11,"Saint Peter Basseterre","KN.PB",NA,"","Parish","Parish","",""
12,193,"KNA","Saint Kitts and Nevis",12,"Saint Thomas Lowland","KN.TL",NA,"","Parish","Parish","",""
13,193,"KNA","Saint Kitts and Nevis",13,"Saint Thomas Middle Island","KN.TM",NA,"","Parish","Parish","",""
14,193,"KNA","Saint Kitts and Nevis",14,"Trinity Palmetto Point","KN.TP",NA,"","Parish","Parish","",""
