index;time;month;year;day;Saint_James_Windward;Christ_Church_Nichola_Town;Saint_Paul_Charlestown;Saint_George_Gingerland;Saint_Anne_Sandy_Point;Saint_Paul_Capisterre;KNA;Saint_Mary_Cayon;Trinity_Palmetto_Point;Saint_George_Basseterre;Saint_Thomas_Lowland;Saint_Thomas_Middle_Island;Saint_Peter_Basseterre;Saint_John_Figtree;Saint_John_Capisterre
0;-17883;1;1901;15;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002
1;-17852;2;1901;15;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4;73.4
2;-17824;3;1901;15;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9;107.9
3;-17793;4;1901;15;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4
4;-17763;5;1901;15;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0;182.0
5;-17732;6;1901;15;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0
6;-17702;7;1901;15;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3;314.3
7;-17671;8;1901;15;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002
8;-17640;9;1901;15;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7;303.7
9;-17610;10;1901;15;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002
10;-17579;11;1901;15;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0;362.0
11;-17549;12;1901;15;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002;208.70000000000002
12;-17518;1;1902;15;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002;165.20000000000002
13;-17487;2;1902;15;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006;42.400000000000006
14;-17459;3;1902;15;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5;89.5
15;-17428;4;1902;15;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3;131.3
16;-17398;5;1902;15;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002;254.60000000000002
17;-17367;6;1902;15;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005;377.70000000000005
18;-17337;7;1902;15;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002
19;-17306;8;1902;15;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002;160.20000000000002
20;-17275;9;1902;15;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002;223.10000000000002
21;-17245;10;1902;15;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002;149.70000000000002
22;-17214;11;1902;15;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8;285.8
23;-17184;12;1902;15;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3;172.3
24;-17153;1;1903;15;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0
25;-17122;2;1903;15;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0
