index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
0;-17883;1;1901;15;217.5;217.5;217.5;217.5
1;-17852;2;1901;15;94.80000000000001;94.80000000000001;94.80000000000001;94.80000000000001
2;-17824;3;1901;15;130.20000000000002;130.20000000000002;130.20000000000002;130.20000000000002
3;-17793;4;1901;15;158.10000000000002;158.10000000000002;158.10000000000002;158.10000000000002
4;-17763;5;1901;15;211.5;211.5;211.5;211.5
5;-17732;6;1901;15;249.10000000000002;249.10000000000002;249.10000000000002;249.10000000000002
6;-17702;7;1901;15;350.1;350.1;350.1;350.1
7;-17671;8;1901;15;194.20000000000002;194.20000000000002;194.20000000000002;194.20000000000002
8;-17640;9;1901;15;331.0;331.0;331.0;331.0
9;-17610;10;1901;15;302.2;302.2;302.2;302.2
10;-17579;11;1901;15;422.3;422.3;422.3;422.3
11;-17549;12;1901;15;250.5;250.5;250.5;250.5
12;-17518;1;1902;15;179.20000000000002;179.20000000000002;179.20000000000002;179.20000000000002
13;-17487;2;1902;15;56.400000000000006;56.400000000000006;56.400000000000006;56.400000000000006
14;-17459;3;1902;15;113.0;113.0;113.0;113.0
15;-17428;4;1902;15;152.20000000000002;152.20000000000002;152.20000000000002;152.20000000000002
16;-17398;5;1902;15;334.3;334.3;334.3;334.3
17;-17367;6;1902;15;409.5;409.5;409.5;409.5
18;-17337;7;1902;15;241.8;241.8;241.8;241.8
19;-17306;8;1902;15;196.10000000000002;196.10000000000002;196.10000000000002;196.10000000000002
20;-17275;9;1902;15;248.20000000000002;248.20000000000002;248.20000000000002;248.20000000000002
21;-17245;10;1902;15;190.20000000000002;190.20000000000002;190.20000000000002;190.20000000000002
22;-17214;11;1902;15;366.8;366.8;366.8;366.8
23;-17184;12;1902;15;216.3;216.3;216.3;216.3
24;-17153;1;1903;15;93.5;93.5;93.5;93.5
25;-17122;2;1903;15;84.30000000000001;84.30000000000001;84.30000000000001;84.30000000000001
26;-17094;3;1903;15;79.5;79.5;79.5;79.5
27;-17063;4;1903;15;268.1;268.1;268.1;268.1
28;-17033;5;1903;15;169.10000000000002;169.10000000000002;169.10000000000002;169.10000000000002
29;-17002;6;1903;15;240.5;240.5;240.5;240.5
