index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
0;-17883;1;1901;15;23.6;23.6;23.6;23.6
1;-17852;2;1901;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
2;-17824;3;1901;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
3;-17793;4;1901;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003
4;-17763;5;1901;15;25.3;25.3;25.3;25.3
5;-17732;6;1901;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
6;-17702;7;1901;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
7;-17671;8;1901;15;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002
8;-17640;9;1901;15;25.8;25.8;25.8;25.8
9;-17610;10;1901;15;25.3;25.3;25.3;25.3
10;-17579;11;1901;15;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003
11;-17549;12;1901;15;24.1;24.1;24.1;24.1
12;-17518;1;1902;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
13;-17487;2;1902;15;23.8;23.8;23.8;23.8
14;-17459;3;1902;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
15;-17428;4;1902;15;23.8;23.8;23.8;23.8
16;-17398;5;1902;15;24.6;24.6;24.6;24.6
17;-17367;6;1902;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
18;-17337;7;1902;15;25.6;25.6;25.6;25.6
19;-17306;8;1902;15;25.8;25.8;25.8;25.8
20;-17275;9;1902;15;25.5;25.5;25.5;25.5
21;-17245;10;1902;15;25.1;25.1;25.1;25.1
22;-17214;11;1902;15;24.5;24.5;24.5;24.5
23;-17184;12;1902;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003
24;-17153;1;1903;15;23.900000000000002;23.900000000000002;23.900000000000002;23.900000000000002
25;-17122;2;1903;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
26;-17094;3;1903;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
27;-17063;4;1903;15;24.0;24.0;24.0;24.0
28;-17033;5;1903;15;25.5;25.5;25.5;25.5
29;-17002;6;1903;15;26.0;26.0;26.0;26.0
30;-16972;7;1903;15;25.8;25.8;25.8;25.8
31;-16941;8;1903;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
32;-16910;9;1903;15;25.5;25.5;25.5;25.5
33;-16880;10;1903;15;25.3;25.3;25.3;25.3
34;-16849;11;1903;15;24.6;24.6;24.6;24.6
35;-16819;12;1903;15;23.900000000000002;23.900000000000002;23.900000000000002;23.900000000000002
36;-16788;1;1904;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
37;-16757;2;1904;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
38;-16728;3;1904;15;23.0;23.0;23.0;23.0
39;-16697;4;1904;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
40;-16667;5;1904;15;24.8;24.8;24.8;24.8
41;-16636;6;1904;15;25.3;25.3;25.3;25.3
42;-16606;7;1904;15;25.3;25.3;25.3;25.3
43;-16575;8;1904;15;25.1;25.1;25.1;25.1
44;-16544;9;1904;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
45;-16514;10;1904;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
46;-16483;11;1904;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
47;-16453;12;1904;15;24.1;24.1;24.1;24.1
48;-16422;1;1905;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
49;-16391;2;1905;15;23.0;23.0;23.0;23.0
50;-16363;3;1905;15;23.1;23.1;23.1;23.1
51;-16332;4;1905;15;24.1;24.1;24.1;24.1
52;-16302;5;1905;15;24.6;24.6;24.6;24.6
53;-16271;6;1905;15;25.6;25.6;25.6;25.6
54;-16241;7;1905;15;25.6;25.6;25.6;25.6
55;-16210;8;1905;15;25.8;25.8;25.8;25.8
56;-16179;9;1905;15;25.6;25.6;25.6;25.6
57;-16149;10;1905;15;25.1;25.1;25.1;25.1
58;-16118;11;1905;15;25.1;25.1;25.1;25.1
59;-16088;12;1905;15;24.1;24.1;24.1;24.1
60;-16057;1;1906;15;23.3;23.3;23.3;23.3
61;-16026;2;1906;15;23.1;23.1;23.1;23.1
62;-15998;3;1906;15;23.3;23.3;23.3;23.3
63;-15967;4;1906;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
64;-15937;5;1906;15;25.0;25.0;25.0;25.0
65;-15906;6;1906;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
66;-15876;7;1906;15;25.5;25.5;25.5;25.5
67;-15845;8;1906;15;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002
68;-15814;9;1906;15;25.6;25.6;25.6;25.6
69;-15784;10;1906;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
70;-15753;11;1906;15;25.0;25.0;25.0;25.0
71;-15723;12;1906;15;23.3;23.3;23.3;23.3
72;-15692;1;1907;15;22.6;22.6;22.6;22.6
73;-15661;2;1907;15;22.400000000000002;22.400000000000002;22.400000000000002;22.400000000000002
74;-15633;3;1907;15;22.6;22.6;22.6;22.6
75;-15602;4;1907;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
76;-15572;5;1907;15;24.5;24.5;24.5;24.5
77;-15541;6;1907;15;25.3;25.3;25.3;25.3
78;-15511;7;1907;15;25.8;25.8;25.8;25.8
79;-15480;8;1907;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
80;-15449;9;1907;15;25.6;25.6;25.6;25.6
81;-15419;10;1907;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
82;-15388;11;1907;15;24.8;24.8;24.8;24.8
83;-15358;12;1907;15;24.1;24.1;24.1;24.1
84;-15327;1;1908;15;23.6;23.6;23.6;23.6
85;-15296;2;1908;15;23.1;23.1;23.1;23.1
86;-15267;3;1908;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
87;-15236;4;1908;15;23.6;23.6;23.6;23.6
88;-15206;5;1908;15;25.0;25.0;25.0;25.0
89;-15175;6;1908;15;25.6;25.6;25.6;25.6
90;-15145;7;1908;15;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002
91;-15114;8;1908;15;26.1;26.1;26.1;26.1
92;-15083;9;1908;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
93;-15053;10;1908;15;25.3;25.3;25.3;25.3
94;-15022;11;1908;15;24.6;24.6;24.6;24.6
95;-14992;12;1908;15;24.0;24.0;24.0;24.0
96;-14961;1;1909;15;23.1;23.1;23.1;23.1
97;-14930;2;1909;15;22.8;22.8;22.8;22.8
98;-14902;3;1909;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
99;-14871;4;1909;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
100;-14841;5;1909;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
101;-14810;6;1909;15;25.0;25.0;25.0;25.0
102;-14780;7;1909;15;25.6;25.6;25.6;25.6
103;-14749;8;1909;15;25.3;25.3;25.3;25.3
104;-14718;9;1909;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
105;-14688;10;1909;15;25.3;25.3;25.3;25.3
106;-14657;11;1909;15;24.3;24.3;24.3;24.3
107;-14627;12;1909;15;23.3;23.3;23.3;23.3
108;-14596;1;1910;15;22.8;22.8;22.8;22.8
109;-14565;2;1910;15;22.5;22.5;22.5;22.5
110;-14537;3;1910;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
111;-14506;4;1910;15;23.3;23.3;23.3;23.3
112;-14476;5;1910;15;24.3;24.3;24.3;24.3
113;-14445;6;1910;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
114;-14415;7;1910;15;25.5;25.5;25.5;25.5
115;-14384;8;1910;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
116;-14353;9;1910;15;25.0;25.0;25.0;25.0
117;-14323;10;1910;15;25.0;25.0;25.0;25.0
118;-14292;11;1910;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
119;-14262;12;1910;15;24.3;24.3;24.3;24.3
120;-14231;1;1911;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
121;-14200;2;1911;15;22.700000000000003;22.700000000000003;22.700000000000003;22.700000000000003
122;-14172;3;1911;15;22.700000000000003;22.700000000000003;22.700000000000003;22.700000000000003
123;-14141;4;1911;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
124;-14111;5;1911;15;24.3;24.3;24.3;24.3
125;-14080;6;1911;15;25.6;25.6;25.6;25.6
126;-14050;7;1911;15;25.6;25.6;25.6;25.6
127;-14019;8;1911;15;26.0;26.0;26.0;26.0
