index;time;month;year;day;Le_Marin;MTQ;Fort-de-France;Saint-Pierre;Le_Trinite
0;-17883;1;1901;15;24.46429186902776;23.80001133437996;23.48156415105241;23.0;23.663858328699877
1;-17852;2;1901;15;24.6129827108001;23.93082869069585;23.606909632686747;23.1;23.794411431361723
2;-17824;3;1901;15;24.83214859663937;24.09028501870481;23.732255114321084;23.200000000000003;23.93778751527355
3;-17793;4;1901;15;25.352081094210625;24.646497140750625;24.306909632686747;23.8;24.50082292198671
4;-17763;5;1901;15;26.403390252438285;25.715679784434734;25.381564151052412;24.900000000000002;25.57026981932487
5;-17732;6;1901;15;26.403390252438285;25.715679784434734;25.381564151052412;24.900000000000002;25.57026981932487
6;-17702;7;1901;15;26.107879304501303;25.46649604964758;25.156218669418074;24.700000000000003;25.33330522603804
7;-17671;8;1901;15;26.576502643844897;25.953525528009294;25.656218669418074;25.200000000000003;25.82689373541305
8;-17640;9;1901;15;26.440636931125482;25.789738741158157;25.481564151052407;25.0;25.65744683807489
9;-17610;10;1901;15;26.064291869027763;25.40001133437996;25.08156415105241;24.6;25.263858328699882
10;-17579;11;1901;15;25.744359371456504;25.043799212334143;24.70690963268675;24.200000000000003;24.900822921986716
11;-17549;12;1901;15;25.064291869027763;24.40001133437996;24.081564151052408;23.6;24.26385832869988
12;-17518;1;1902;15;24.36429186902776;23.70001133437996;23.381564151052412;22.900000000000002;23.56385832869988
13;-17487;2;1902;15;24.6129827108001;23.93082869069585;23.606909632686747;23.1;23.794411431361723
14;-17459;3;1902;15;24.43214859663937;23.690285018704806;23.332255114321086;22.8;23.537787515273546
15;-17428;4;1902;15;25.052081094210624;24.34649714075063;24.006909632686746;23.5;24.20082292198671
16;-17398;5;1902;15;25.89117947762115;25.1621655908054;24.806909632686747;24.3;25.0072344126117
17;-17367;6;1902;15;26.203390252438282;25.515679784434735;25.18156415105241;24.700000000000003;25.370269819324875
18;-17337;7;1902;15;26.272013591781885;25.602709262796445;25.281564151052407;24.8;25.46385832869988
19;-17306;8;1902;15;26.476502643844896;25.853525528009293;25.556218669418072;25.1;25.72689373541305
20;-17275;9;1902;15;26.228426156308345;25.53622454752882;25.206909632686745;24.700000000000003;25.394411431361725
21;-17245;10;1902;15;25.952081094210627;25.246497140750627;24.906909632686748;24.400000000000002;25.100822921986712
22;-17214;11;1902;15;25.644359371456503;24.94379921233414;24.606909632686747;24.1;24.800822921986715
23;-17184;12;1902;15;25.064291869027763;24.40001133437996;24.081564151052408;23.6;24.26385832869988
24;-17153;1;1903;15;24.66429186902776;24.000011334379963;23.68156415105241;23.200000000000003;23.86385832869988
25;-17122;2;1903;15;24.4129827108001;23.73082869069585;23.406909632686748;22.900000000000002;23.594411431361724
26;-17094;3;1903;15;24.519937821822232;23.736770825075475;23.35760059595542;22.8;23.57475210856038
27;-17063;4;1903;15;25.17573603211291;24.456769733972433;24.106909632686744;23.6;24.307234412611706
28;-17033;5;1903;15;26.403390252438285;25.715679784434734;25.381564151052412;24.900000000000002;25.57026981932487
29;-17002;6;1903;15;26.815601027255425;26.169193978064072;25.856218669418073;25.400000000000002;26.03330522603804
30;-16972;7;1903;15;26.307879304501302;25.666496049647584;25.356218669418077;24.900000000000002;25.53330522603804
31;-16941;8;1903;15;26.46429186902776;25.80001133437996;25.481564151052407;25.0;25.66385832869988
32;-16910;9;1903;15;26.228426156308345;25.53622454752882;25.206909632686745;24.700000000000003;25.394411431361725
33;-16880;10;1903;15;26.064291869027763;25.40001133437996;25.08156415105241;24.6;25.263858328699882
34;-16849;11;1903;15;25.65657014627364;24.997313405963475;24.681564151052413;24.200000000000003;24.863858328699884
