index;time;month;year;day;Salt_Cay;Grand_Turk;South_Caicos_and_East_Caicos;Middle_Caicos;Providenciales_and_West_Caicos;North_Caicos;TCA
0;-17883;1;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;101.0;93.2;98.95385597037865;9.099276877448907e+35
1;-17852;2;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;47.400000000000006;42.900000000000006;46.21953229060308;9.099276877448907e+35
2;-17824;3;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;65.5;64.10000000000001;65.13274337929873;9.099276877448907e+35
3;-17793;4;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;91.5;86.5;90.1883692117812;9.099276877448907e+35
4;-17763;5;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;212.20000000000002;220.5;214.37730710844323;9.099276877448907e+35
5;-17732;6;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;246.4;265.90000000000003;251.51536007405332;9.099276877448907e+35
6;-17702;7;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;152.6;155.8;153.43944370446002;9.099276877448907e+35
7;-17671;8;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;127.80000000000001;126.4;127.43274337929873;9.099276877448907e+35
8;-17640;9;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;199.8;207.60000000000002;201.84614402962134;9.099276877448907e+35
9;-17610;10;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;158.3;166.20000000000002;160.3723766453857;9.099276877448907e+35
10;-17579;11;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;72.60000000000001;62.900000000000006;70.05543627085552;9.099276877448907e+35
11;-17549;12;1901;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;74.60000000000001;66.3;72.42269289155678;9.099276877448907e+35
12;-17518;1;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;61.5;54.6;59.68994951225804;9.099276877448907e+35
13;-17487;2;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;55.6;52.800000000000004;54.86548675859746;9.099276877448907e+35
14;-17459;3;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;90.7;89.30000000000001;90.33274337929873;9.099276877448907e+35
15;-17428;4;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;113.80000000000001;113.80000000000001;113.8;9.099276877448907e+35
16;-17398;5;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;244.4;239.8;243.1932996748387;9.099276877448907e+35
17;-17367;6;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;196.8;204.5;198.81991141385697;9.099276877448907e+35
