index;time;month;year;day;Princes_Town;Penal-Debe;Port_of_Spain;Chaguanas;Point_Fortin;San_Juan-Laventille;Diego_Martin;Tobago;Arima;Couva-Tabaquite-Talparo;Siparia;TTO;San_Fernando;Tunapuna/Piarco;Sangre_Grande;Mayaro/Rio_Claro
0;-17883;1;1901;15;24.900000000000002;24.918732094361868;25.231873152049843;24.500260536233903;25.400000000000002;24.514720231781812;25.288784101874136;1.7090629194463591e+34;24.5;24.812340431881214;25.374007075016205;1.700103585635717e+35;24.900485983321072;24.5;8.27597870505608e+35;1.2900626098844994e+35
1;-17852;2;1901;15;25.1;25.11873209436187;25.331873152049845;24.600325670292378;25.6;24.614720231781817;25.388784101874137;1.7090629194463591e+34;24.6;24.99042553985152;25.574007075016205;1.700103585635717e+35;25.100485983321075;24.6;8.27597870505608e+35;1.2900626098844994e+35
2;-17824;3;1901;15;25.6;25.622478513234245;25.823357296056074;25.000390804350854;26.200000000000003;25.01656026075454;25.887382114608403;1.7090629194463591e+34;25.0;25.46851064782182;26.168808490019444;1.700103585635717e+35;25.600583179985286;25.0;8.27597870505608e+35;1.2900626098844994e+35
3;-17793;4;1901;15;26.3;26.32247851323424;26.623357296056078;25.80032567029238;26.900000000000002;25.816560260754542;26.687382114608404;1.7090629194463591e+34;25.8;26.190425539851518;26.868808490019447;1.700103585635717e+35;26.30058317998529;25.8;8.27597870505608e+35;1.2900626098844994e+35
4;-17763;5;1901;15;26.700000000000003;26.726224932106618;27.223357296056076;26.400195402175427;27.400000000000002;26.416560260754544;27.287382114608402;1.7090629194463591e+34;26.400000000000002;26.634255323910914;27.363609905022685;1.700103585635717e+35;26.700680376649505;26.400000000000002;8.27597870505608e+35;1.2900626098844994e+35
5;-17732;6;1901;15;26.1;26.126224932106616;26.714841440062305;25.80019540217543;26.8;25.81840028972727;26.78598012734267;1.7090629194463591e+34;25.8;26.034255323910912;26.763609905022683;1.700103585635717e+35;26.100680376649503;25.8;8.27597870505608e+35;1.2900626098844994e+35
6;-17702;7;1901;15;26.0;26.01873209436187;26.340389008043616;25.70019540217543;26.5;25.71288020280909;26.39018608913987;1.7090629194463591e+34;25.700000000000003;25.93425532391091;26.474007075016203;1.700103585635717e+35;26.000485983321074;25.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
7;-17671;8;1901;15;26.400000000000002;26.41873209436187;26.731873152049843;26.000260536233903;26.900000000000002;26.014720231781816;26.788784101874136;1.7090629194463591e+34;26.0;26.312340431881214;26.874007075016205;1.700103585635717e+35;26.400485983321072;26.0;8.27597870505608e+35;1.2900626098844994e+35
8;-17640;9;1901;15;26.6;26.618732094361867;26.840389008043616;26.200260536233905;27.1;26.212880202809092;26.89018608913987;1.7090629194463591e+34;26.200000000000003;26.512340431881213;27.074007075016205;1.700103585635717e+35;26.60048598332107;26.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
9;-17610;10;1901;15;26.5;26.51873209436187;26.731873152049843;26.00032567029238;27.0;26.014720231781816;26.788784101874136;1.7090629194463591e+34;26.0;26.390425539851517;26.9740070750162;1.700103585635717e+35;26.50048598332107;26.0;8.27597870505608e+35;1.2900626098844994e+35
10;-17579;11;1901;15;26.0;26.01873209436187;26.240389008043614;25.600260536233904;26.5;25.61288020280909;26.29018608913987;1.7090629194463591e+34;25.6;25.912340431881212;26.474007075016203;1.700103585635717e+35;26.000485983321074;25.6;8.27597870505608e+35;1.2900626098844994e+35
11;-17549;12;1901;15;25.400000000000002;25.411239256617122;25.540389008043615;24.90032567029238;25.700000000000003;24.91288020280909;25.59018608913987;1.7090629194463591e+34;24.900000000000002;25.290425539851515;25.684404245009723;1.700103585635717e+35;25.400291589992648;24.900000000000002;8.27597870505608e+35;1.2900626098844994e+35
12;-17518;1;1902;15;24.8;24.81873209436187;25.13187315204985;24.400260536233905;25.3;24.414720231781818;25.188784101874138;1.7090629194463591e+34;24.400000000000002;24.712340431881216;25.274007075016204;1.700103585635717e+35;24.80048598332107;24.400000000000002;8.27597870505608e+35;1.2900626098844994e+35
13;-17487;2;1902;15;25.1;25.122478513234245;25.431873152049846;24.700260536233905;25.700000000000003;24.71472023178182;25.488784101874135;1.7090629194463591e+34;24.700000000000003;25.012340431881213;25.668808490019444;1.700103585635717e+35;25.10058317998529;24.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
14;-17459;3;1902;15;25.400000000000002;25.426224932106617;25.723357296056076;24.90032567029238;26.1;24.916560260754544;25.787382114608402;1.7090629194463591e+34;24.900000000000002;25.290425539851515;26.063609905022684;1.700103585635717e+35;25.400680376649504;24.900000000000002;8.27597870505608e+35;1.2900626098844994e+35
15;-17428;4;1902;15;26.200000000000003;26.222478513234243;26.523357296056076;25.70032567029238;26.8;25.71656026075454;26.587382114608403;1.7090629194463591e+34;25.700000000000003;26.09042553985152;26.768808490019445;1.700103585635717e+35;26.20058317998529;25.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
16;-17398;5;1902;15;26.5;26.526224932106615;26.931873152049846;26.20019540217543;27.200000000000003;26.21472023178182;26.988784101874135;1.7090629194463591e+34;26.200000000000003;26.43425532391091;27.163609905022685;1.700103585635717e+35;26.500680376649502;26.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
17;-17367;6;1902;15;26.1;26.122478513234242;26.61484144006231;25.700260536233905;26.700000000000003;25.71840028972727;26.68598012734267;1.7090629194463591e+34;25.700000000000003;26.012340431881217;26.668808490019444;1.700103585635717e+35;26.10058317998529;25.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
18;-17337;7;1902;15;26.0;26.01873209436187;26.431873152049846;25.70019540217543;26.5;25.714720231781815;26.488784101874135;1.7090629194463591e+34;25.700000000000003;25.93425532391091;26.474007075016203;1.700103585635717e+35;26.000485983321074;25.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
19;-17306;8;1902;15;26.400000000000002;26.414985675489497;26.723357296056076;25.90032567029238;26.8;25.916560260754544;26.787382114608402;1.7090629194463591e+34;25.900000000000002;26.29042553985152;26.779205660012963;1.700103585635717e+35;26.40038878665686;25.900000000000002;8.27597870505608e+35;1.2900626098844994e+35
20;-17275;9;1902;15;26.5;26.51873209436187;26.740389008043614;26.100260536233904;27.0;26.11288020280909;26.79018608913987;1.7090629194463591e+34;26.1;26.412340431881216;26.9740070750162;1.700103585635717e+35;26.50048598332107;26.1;8.27597870505608e+35;1.2900626098844994e+35
21;-17245;10;1902;15;26.400000000000002;26.422478513234246;26.640389008043616;26.000260536233903;27.0;26.01288020280909;26.69018608913987;1.7090629194463591e+34;26.0;26.312340431881214;26.96880849001944;1.700103585635717e+35;26.400583179985286;26.0;8.27597870505608e+35;1.2900626098844994e+35
22;-17214;11;1902;15;26.0;26.01873209436187;26.240389008043614;25.600260536233904;26.5;25.61288020280909;26.29018608913987;1.7090629194463591e+34;25.6;25.912340431881212;26.474007075016203;1.700103585635717e+35;26.000485983321074;25.6;8.27597870505608e+35;1.2900626098844994e+35
23;-17184;12;1902;15;25.400000000000002;25.414985675489493;25.640389008043616;25.000260536233903;25.8;25.01288020280909;25.69018608913987;1.7090629194463591e+34;25.0;25.312340431881214;25.779205660012963;1.700103585635717e+35;25.400388786656862;25.0;8.27597870505608e+35;1.2900626098844994e+35
24;-17153;1;1903;15;24.900000000000002;24.922478513234243;25.331873152049845;24.600195402175427;25.5;24.614720231781817;25.388784101874137;1.7090629194463591e+34;24.6;24.834255323910913;25.468808490019445;1.700103585635717e+35;24.90058317998529;24.6;8.27597870505608e+35;1.2900626098844994e+35
25;-17122;2;1903;15;25.1;25.114985675489496;25.231873152049843;24.500390804350854;25.5;24.514720231781812;25.288784101874136;1.7090629194463591e+34;24.5;24.96851064782182;25.479205660012962;1.700103585635717e+35;25.10038878665686;24.5;8.27597870505608e+35;1.2900626098844994e+35
26;-17094;3;1903;15;25.400000000000002;25.426224932106617;25.723357296056076;24.90032567029238;26.1;24.916560260754544;25.787382114608402;1.7090629194463591e+34;24.900000000000002;25.290425539851515;26.063609905022684;1.700103585635717e+35;25.400680376649504;24.900000000000002;8.27597870505608e+35;1.2900626098844994e+35
