index;time;month;year;day;Saint_Patrick;Charlotte;Saint_David;VCT;Saint_George;Saint_Andrew;Grenadines
0;-17883;1;1901;15;68.0;68.0;68.0;9.396166758599263e+35;68.0;68.0;7.60852404253286e+36
1;-17852;2;1901;15;51.0;51.0;51.0;9.396166758599263e+35;51.0;51.0;7.60852404253286e+36
2;-17824;3;1901;15;45.0;45.0;45.0;9.396166758599263e+35;45.0;45.0;7.60852404253286e+36
3;-17793;4;1901;15;55.0;55.0;55.0;9.396166758599263e+35;55.0;55.0;7.60852404253286e+36
4;-17763;5;1901;15;93.0;93.0;93.0;9.396166758599263e+35;93.0;93.0;7.60852404253286e+36
5;-17732;6;1901;15;156.0;156.0;156.0;9.396166758599263e+35;156.0;156.0;7.60852404253286e+36
6;-17702;7;1901;15;202.0;202.0;202.0;9.396166758599263e+35;202.0;202.0;7.60852404253286e+36
7;-17671;8;1901;15;216.0;216.0;216.0;9.396166758599263e+35;216.0;216.0;7.60852404253286e+36
8;-17640;9;1901;15;207.0;207.0;207.0;9.396166758599263e+35;207.0;207.0;7.60852404253286e+36
9;-17610;10;1901;15;201.0;201.0;201.0;9.396166758599263e+35;201.0;201.0;7.60852404253286e+36
10;-17579;11;1901;15;177.0;177.0;177.0;9.396166758599263e+35;177.0;177.0;7.60852404253286e+36
11;-17549;12;1901;15;107.0;107.0;107.0;9.396166758599263e+35;107.0;107.0;7.60852404253286e+36
12;-17518;1;1902;15;44.1;44.1;44.1;9.396166758599263e+35;44.1;44.1;7.60852404253286e+36
13;-17487;2;1902;15;28.200000000000003;28.200000000000003;28.200000000000003;9.396166758599263e+35;28.200000000000003;28.200000000000003;7.60852404253286e+36
14;-17459;3;1902;15;39.6;39.6;39.6;9.396166758599263e+35;39.6;39.6;7.60852404253286e+36
15;-17428;4;1902;15;35.1;35.1;35.1;9.396166758599263e+35;35.1;35.1;7.60852404253286e+36
16;-17398;5;1902;15;173.10000000000002;173.10000000000002;173.10000000000002;9.396166758599263e+35;173.10000000000002;173.10000000000002;7.60852404253286e+36
17;-17367;6;1902;15;251.9;251.9;251.9;9.396166758599263e+35;251.9;251.9;7.60852404253286e+36
18;-17337;7;1902;15;231.8;231.8;231.8;9.396166758599263e+35;231.8;231.8;7.60852404253286e+36
19;-17306;8;1902;15;182.10000000000002;182.10000000000002;182.10000000000002;9.396166758599263e+35;182.10000000000002;182.10000000000002;7.60852404253286e+36
20;-17275;9;1902;15;180.3;180.3;180.3;9.396166758599263e+35;180.3;180.3;7.60852404253286e+36
21;-17245;10;1902;15;151.70000000000002;151.70000000000002;151.70000000000002;9.396166758599263e+35;151.70000000000002;151.70000000000002;7.60852404253286e+36
22;-17214;11;1902;15;239.10000000000002;239.10000000000002;239.10000000000002;9.396166758599263e+35;239.10000000000002;239.10000000000002;7.60852404253286e+36
23;-17184;12;1902;15;118.60000000000001;118.60000000000001;118.60000000000001;9.396166758599263e+35;118.60000000000001;118.60000000000001;7.60852404253286e+36
24;-17153;1;1903;15;31.5;31.5;31.5;9.396166758599263e+35;31.5;31.5;7.60852404253286e+36
25;-17122;2;1903;15;55.5;55.5;55.5;9.396166758599263e+35;55.5;55.5;7.60852404253286e+36
26;-17094;3;1903;15;31.900000000000002;31.900000000000002;31.900000000000002;9.396166758599263e+35;31.900000000000002;31.900000000000002;7.60852404253286e+36
27;-17063;4;1903;15;109.60000000000001;109.60000000000001;109.60000000000001;9.396166758599263e+35;109.60000000000001;109.60000000000001;7.60852404253286e+36
28;-17033;5;1903;15;55.400000000000006;55.400000000000006;55.400000000000006;9.396166758599263e+35;55.400000000000006;55.400000000000006;7.60852404253286e+36
29;-17002;6;1903;15;248.5;248.5;248.5;9.396166758599263e+35;248.5;248.5;7.60852404253286e+36
30;-16972;7;1903;15;189.70000000000002;189.70000000000002;189.70000000000002;9.396166758599263e+35;189.70000000000002;189.70000000000002;7.60852404253286e+36
31;-16941;8;1903;15;301.1;301.1;301.1;9.396166758599263e+35;301.1;301.1;7.60852404253286e+36
32;-16910;9;1903;15;206.8;206.8;206.8;9.396166758599263e+35;206.8;206.8;7.60852404253286e+36
33;-16880;10;1903;15;153.9;153.9;153.9;9.396166758599263e+35;153.9;153.9;7.60852404253286e+36
34;-16849;11;1903;15;129.70000000000002;129.70000000000002;129.70000000000002;9.396166758599263e+35;129.70000000000002;129.70000000000002;7.60852404253286e+36
35;-16819;12;1903;15;139.70000000000002;139.70000000000002;139.70000000000002;9.396166758599263e+35;139.70000000000002;139.70000000000002;7.60852404253286e+36
36;-16788;1;1904;15;82.60000000000001;82.60000000000001;82.60000000000001;9.396166758599263e+35;82.60000000000001;82.60000000000001;7.60852404253286e+36
37;-16757;2;1904;15;47.800000000000004;47.800000000000004;47.800000000000004;9.396166758599263e+35;47.800000000000004;47.800000000000004;7.60852404253286e+36
38;-16728;3;1904;15;59.7;59.7;59.7;9.396166758599263e+35;59.7;59.7;7.60852404253286e+36
39;-16697;4;1904;15;29.700000000000003;29.700000000000003;29.700000000000003;9.396166758599263e+35;29.700000000000003;29.700000000000003;7.60852404253286e+36
40;-16667;5;1904;15;91.80000000000001;91.80000000000001;91.80000000000001;9.396166758599263e+35;91.80000000000001;91.80000000000001;7.60852404253286e+36
41;-16636;6;1904;15;77.5;77.5;77.5;9.396166758599263e+35;77.5;77.5;7.60852404253286e+36
42;-16606;7;1904;15;215.3;215.3;215.3;9.396166758599263e+35;215.3;215.3;7.60852404253286e+36
43;-16575;8;1904;15;205.8;205.8;205.8;9.396166758599263e+35;205.8;205.8;7.60852404253286e+36
44;-16544;9;1904;15;298.90000000000003;298.90000000000003;298.90000000000003;9.396166758599263e+35;298.90000000000003;298.90000000000003;7.60852404253286e+36
45;-16514;10;1904;15;178.0;178.0;178.0;9.396166758599263e+35;178.0;178.0;7.60852404253286e+36
46;-16483;11;1904;15;162.8;162.8;162.8;9.396166758599263e+35;162.8;162.8;7.60852404253286e+36
47;-16453;12;1904;15;104.0;104.0;104.0;9.396166758599263e+35;104.0;104.0;7.60852404253286e+36
48;-16422;1;1905;15;48.0;48.0;48.0;9.396166758599263e+35;48.0;48.0;7.60852404253286e+36
49;-16391;2;1905;15;54.1;54.1;54.1;9.396166758599263e+35;54.1;54.1;7.60852404253286e+36
50;-16363;3;1905;15;52.6;52.6;52.6;9.396166758599263e+35;52.6;52.6;7.60852404253286e+36
51;-16332;4;1905;15;43.1;43.1;43.1;9.396166758599263e+35;43.1;43.1;7.60852404253286e+36
52;-16302;5;1905;15;62.300000000000004;62.300000000000004;62.300000000000004;9.396166758599263e+35;62.300000000000004;62.300000000000004;7.60852404253286e+36
53;-16271;6;1905;15;138.20000000000002;138.20000000000002;138.20000000000002;9.396166758599263e+35;138.20000000000002;138.20000000000002;7.60852404253286e+36
54;-16241;7;1905;15;164.8;164.8;164.8;9.396166758599263e+35;164.8;164.8;7.60852404253286e+36
