index;time;month;year;day;Anegada;Virgin_Gorda;VGB;Tortola;Jost_Van_Dyke;Other_Islands
0;-17883;1;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;263.1;263.1;1.2316434366167814e+36
1;-17852;2;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;62.1;62.1;1.2316434366167814e+36
2;-17824;3;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;106.2;106.2;1.2316434366167814e+36
3;-17793;4;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;119.2;119.2;1.2316434366167814e+36
4;-17763;5;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;203.70000000000002;203.70000000000002;1.2316434366167814e+36
5;-17732;6;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;285.3;285.3;1.2316434366167814e+36
6;-17702;7;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;402.5;402.5;1.2316434366167814e+36
7;-17671;8;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;115.4;115.4;1.2316434366167814e+36
8;-17640;9;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;356.20000000000005;356.20000000000005;1.2316434366167814e+36
9;-17610;10;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;239.0;239.0;1.2316434366167814e+36
10;-17579;11;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;379.3;379.3;1.2316434366167814e+36
11;-17549;12;1901;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;238.9;238.9;1.2316434366167814e+36
12;-17518;1;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;242.9;242.9;1.2316434366167814e+36
13;-17487;2;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;20.0;20.0;1.2316434366167814e+36
14;-17459;3;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;75.5;75.5;1.2316434366167814e+36
15;-17428;4;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;147.9;147.9;1.2316434366167814e+36
16;-17398;5;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;224.9;224.9;1.2316434366167814e+36
17;-17367;6;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;541.1;541.1;1.2316434366167814e+36
18;-17337;7;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;177.3;177.3;1.2316434366167814e+36
19;-17306;8;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;124.30000000000001;124.30000000000001;1.2316434366167814e+36
20;-17275;9;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;231.9;231.9;1.2316434366167814e+36
21;-17245;10;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;111.2;111.2;1.2316434366167814e+36
22;-17214;11;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;234.70000000000002;234.70000000000002;1.2316434366167814e+36
23;-17184;12;1902;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;169.9;169.9;1.2316434366167814e+36
24;-17153;1;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;76.7;76.7;1.2316434366167814e+36
25;-17122;2;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;47.2;47.2;1.2316434366167814e+36
26;-17094;3;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;67.10000000000001;67.10000000000001;1.2316434366167814e+36
27;-17063;4;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;118.0;118.0;1.2316434366167814e+36
28;-17033;5;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;175.0;175.0;1.2316434366167814e+36
29;-17002;6;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;138.3;138.3;1.2316434366167814e+36
30;-16972;7;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;333.6;333.6;1.2316434366167814e+36
31;-16941;8;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;298.8;298.8;1.2316434366167814e+36
