"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",1,"Anna's Hope Village","VI.SC.AH",NA,"","Subdistrict","","",""
2,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",2,"Christiansted","VI.SC.CH",NA,"","Subdistrict","","",""
3,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",3,"East End","VI.SC.EE",NA,"","Subdistrict","","",""
4,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",4,"Frederiksted","VI.SC.FR",NA,"","Subdistrict","","",""
5,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",5,"Northcentral","VI.SC.NC",NA,"","Subdistrict","","",""
6,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",6,"Northwest","VI.SC.NW",NA,"","Subdistrict","","",""
7,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",7,"Sion Farm","VI.SC.SF",NA,"","Subdistrict","","",""
8,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",8,"Southcentral","VI.SC.SC",NA,"","Subdistrict","","",""
9,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix",9,"Southwest","VI.SC.SW",NA,"","Subdistrict","","",""
10,251,"VIR","Virgin Islands, U.S.",2,"Saint John",10,"Central","VI.SJ.CE",NA,"","Subdistrict","","",""
11,251,"VIR","Virgin Islands, U.S.",2,"Saint John",11,"Coral Bay","VI.SJ.CB",NA,"","Subdistrict","","",""
12,251,"VIR","Virgin Islands, U.S.",2,"Saint John",12,"Cruz Bay","VI.SJ.CZ",NA,"","Subdistrict","","",""
13,251,"VIR","Virgin Islands, U.S.",2,"Saint John",13,"East End","VI.SJ.EE",NA,"","Subdistrict","","",""
14,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",14,"Charlotte Amalie","VI.ST.CA",NA,"","Subdistrict","","",""
15,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",15,"East End","VI.ST.EE",NA,"","Subdistrict","","",""
16,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",16,"Northside","VI.ST.NS",NA,"","Subdistrict","","",""
17,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",17,"Southside","VI.ST.SS",NA,"","Subdistrict","","",""
18,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",18,"Tutu","VI.ST.TU",NA,"","Subdistrict","","",""
19,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",19,"Water Island","VI.ST.WI",NA,"","Subdistrict","","",""
20,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas",20,"West End","VI.ST.WE",NA,"","Subdistrict","","",""
