index;time;month;year;day;VIR;Saint_John;Saint_Croix;Saint_Thomas
0;-17883;1;1901;15;23.758172730978043;23.700000000000003;23.8;23.688891965672948
1;-17852;2;1901;15;24.25817273097804;24.200000000000003;24.3;24.188891965672948
2;-17824;3;1901;15;24.160904134233427;24.1;24.200000000000003;24.1
3;-17793;4;1901;15;24.760904134233428;24.700000000000003;24.8;24.7
4;-17763;5;1901;15;25.821808268466853;25.700000000000003;25.900000000000002;25.700000000000003
5;-17732;6;1901;15;25.721808268466845;25.6;25.8;25.6
6;-17702;7;1901;15;25.68271240270027;25.5;25.8;25.5
7;-17671;8;1901;15;26.460904134233424;26.400000000000002;26.5;26.4
8;-17640;9;1901;15;26.45817273097804;26.400000000000002;26.5;26.388891965672947
9;-17610;10;1901;15;25.858172730978044;25.8;25.900000000000002;25.788891965672946
10;-17579;11;1901;15;25.25817273097804;25.200000000000003;25.3;25.188891965672948
11;-17549;12;1901;15;24.458172730978042;24.400000000000002;24.5;24.388891965672947
12;-17518;1;1902;15;23.55817273097804;23.5;23.6;23.488891965672945
13;-17487;2;1902;15;24.35817273097804;24.3;24.400000000000002;24.288891965672946
14;-17459;3;1902;15;23.460904134233424;23.400000000000002;23.5;23.400000000000002
15;-17428;4;1902;15;24.160904134233427;24.1;24.200000000000003;24.1
16;-17398;5;1902;15;24.821808268466846;24.700000000000003;24.900000000000002;24.7
17;-17367;6;1902;15;25.382712402700268;25.200000000000003;25.5;25.200000000000003
18;-17337;7;1902;15;25.921808268466847;25.8;26.0;25.8
19;-17306;8;1902;15;26.260904134233428;26.200000000000003;26.3;26.200000000000003
20;-17275;9;1902;15;25.960904134233427;25.900000000000002;26.0;25.900000000000002
21;-17245;10;1902;15;25.560904134233425;25.5;25.6;25.5
22;-17214;11;1902;15;24.960904134233424;24.900000000000002;25.0;24.9
23;-17184;12;1902;15;24.558172730978043;24.5;24.6;24.48889196567294
24;-17153;1;1903;15;24.25817273097804;24.200000000000003;24.3;24.188891965672948
25;-17122;2;1903;15;23.758172730978043;23.700000000000003;23.8;23.688891965672948
26;-17094;3;1903;15;23.560904134233425;23.5;23.6;23.5
27;-17063;4;1903;15;24.458172730978042;24.400000000000002;24.5;24.388891965672947
28;-17033;5;1903;15;26.02180826846685;25.900000000000002;26.1;25.900000000000002
29;-17002;6;1903;15;26.52180826846685;26.400000000000002;26.6;26.4
30;-16972;7;1903;15;26.11907686521146;26.0;26.200000000000003;25.988891965672945
31;-16941;8;1903;15;26.16363553748881;26.1;26.200000000000003;26.111108034327057
32;-16910;9;1903;15;25.960904134233427;25.900000000000002;26.0;25.900000000000002
33;-16880;10;1903;15;25.858172730978044;25.8;25.900000000000002;25.788891965672946
34;-16849;11;1903;15;25.058172730978043;25.0;25.1;24.98889196567294
35;-16819;12;1903;15;24.255441327722657;24.200000000000003;24.3;24.177783931345893
36;-16788;1;1904;15;23.55817273097804;23.5;23.6;23.488891965672945
37;-16757;2;1904;15;23.158172730978045;23.1;23.200000000000003;23.088891965672946
38;-16728;3;1904;15;23.32180826846685;23.200000000000003;23.400000000000002;23.200000000000003
39;-16697;4;1904;15;23.458172730978042;23.400000000000002;23.5;23.388891965672947
40;-16667;5;1904;15;25.11907686521146;25.0;25.200000000000003;24.98889196567294
41;-16636;6;1904;15;25.52180826846685;25.400000000000002;25.6;25.400000000000002
42;-16606;7;1904;15;25.48271240270027;25.3;25.6;25.3
43;-16575;8;1904;15;25.360904134233426;25.3;25.400000000000002;25.3
44;-16544;9;1904;15;25.62180826846685;25.5;25.700000000000003;25.5
45;-16514;10;1904;15;25.321808268466846;25.200000000000003;25.400000000000002;25.200000000000003
46;-16483;11;1904;15;25.421808268466847;25.3;25.5;25.3
47;-16453;12;1904;15;24.458172730978042;24.400000000000002;24.5;24.388891965672947
48;-16422;1;1905;15;23.55817273097804;23.5;23.6;23.488891965672945
49;-16391;2;1905;15;23.255441327722657;23.200000000000003;23.3;23.177783931345893
50;-16363;3;1905;15;23.36090413423343;23.3;23.400000000000002;23.3
51;-16332;4;1905;15;24.658172730978045;24.6;24.700000000000003;24.588891965672943
52;-16302;5;1905;15;24.821808268466846;24.700000000000003;24.900000000000002;24.7
53;-16271;6;1905;15;25.919076865211462;25.8;26.0;25.788891965672946
54;-16241;7;1905;15;25.821808268466853;25.700000000000003;25.900000000000002;25.700000000000003
55;-16210;8;1905;15;26.260904134233428;26.200000000000003;26.3;26.200000000000003
56;-16179;9;1905;15;26.060904134233425;26.0;26.1;26.0
57;-16149;10;1905;15;25.560904134233425;25.5;25.6;25.5
58;-16118;11;1905;15;25.760904134233428;25.700000000000003;25.8;25.700000000000003
59;-16088;12;1905;15;24.458172730978042;24.400000000000002;24.5;24.388891965672947
60;-16057;1;1906;15;23.455441327722657;23.400000000000002;23.5;23.377783931345892
61;-16026;2;1906;15;23.35544132772266;23.3;23.400000000000002;23.27778393134589
62;-15998;3;1906;15;23.65817273097804;23.6;23.700000000000003;23.588891965672946
63;-15967;4;1906;15;24.060904134233425;24.0;24.1;24.0
64;-15937;5;1906;15;25.419076865211462;25.3;25.5;25.288891965672946
65;-15906;6;1906;15;25.382712402700268;25.200000000000003;25.5;25.200000000000003
66;-15876;7;1906;15;25.721808268466845;25.6;25.8;25.6
67;-15845;8;1906;15;26.460904134233424;26.400000000000002;26.5;26.4
68;-15814;9;1906;15;26.060904134233425;26.0;26.1;26.0
69;-15784;10;1906;15;26.058172730978043;26.0;26.1;25.988891965672945
70;-15753;11;1906;15;25.560904134233425;25.5;25.6;25.5
71;-15723;12;1906;15;23.419076865211462;23.3;23.5;23.288891965672946
72;-15692;1;1907;15;22.519076865211463;22.400000000000002;22.6;22.388891965672947
73;-15661;2;1907;15;22.455441327722653;22.400000000000002;22.5;22.377783931345892
74;-15633;3;1907;15;22.75817273097804;22.700000000000003;22.8;22.688891965672944
75;-15602;4;1907;15;23.65817273097804;23.6;23.700000000000003;23.588891965672946
76;-15572;5;1907;15;24.68271240270027;24.5;24.8;24.499999999999996
77;-15541;6;1907;15;25.52180826846685;25.400000000000002;25.6;25.400000000000002
78;-15511;7;1907;15;26.219076865211463;26.1;26.3;26.088891965672946
79;-15480;8;1907;15;26.063635537488807;26.0;26.1;26.011108034327055
80;-15449;9;1907;15;26.060904134233425;26.0;26.1;26.0
81;-15419;10;1907;15;25.660904134233427;25.6;25.700000000000003;25.6
82;-15388;11;1907;15;25.35817273097804;25.3;25.400000000000002;25.288891965672946
83;-15358;12;1907;15;24.458172730978042;24.400000000000002;24.5;24.388891965672947
84;-15327;1;1908;15;23.758172730978043;23.700000000000003;23.8;23.688891965672948
85;-15296;2;1908;15;23.35544132772266;23.3;23.400000000000002;23.27778393134589
86;-15267;3;1908;15;23.460904134233424;23.400000000000002;23.5;23.400000000000002
87;-15236;4;1908;15;24.02180826846685;23.900000000000002;24.1;23.900000000000002
88;-15206;5;1908;15;25.419076865211462;25.3;25.5;25.288891965672946
89;-15175;6;1908;15;26.019076865211463;25.900000000000002;26.1;25.888891965672947
90;-15145;7;1908;15;26.319076865211464;26.200000000000003;26.400000000000002;26.188891965672948
91;-15114;8;1908;15;26.663635537488815;26.6;26.700000000000003;26.611108034327053
92;-15083;9;1908;15;26.25817273097804;26.200000000000003;26.3;26.188891965672948
93;-15053;10;1908;15;25.858172730978044;25.8;25.900000000000002;25.788891965672946
94;-15022;11;1908;15;25.058172730978043;25.0;25.1;24.98889196567294
95;-14992;12;1908;15;24.319076865211464;24.200000000000003;24.400000000000002;24.188891965672948
96;-14961;1;1909;15;23.155441327722656;23.1;23.200000000000003;23.07778393134589
97;-14930;2;1909;15;22.958172730978042;22.900000000000002;23.0;22.888891965672943
98;-14902;3;1909;15;24.160904134233427;24.1;24.200000000000003;24.1
99;-14871;4;1909;15;23.721808268466848;23.6;23.8;23.6
100;-14841;5;1909;15;25.319076865211464;25.200000000000003;25.400000000000002;25.188891965672948
101;-14810;6;1909;15;25.11907686521146;25.0;25.200000000000003;24.98889196567294
102;-14780;7;1909;15;25.921808268466847;25.8;26.0;25.8
103;-14749;8;1909;15;25.560904134233425;25.5;25.6;25.5
104;-14718;9;1909;15;26.25817273097804;26.200000000000003;26.3;26.188891965672948
105;-14688;10;1909;15;25.858172730978044;25.8;25.900000000000002;25.788891965672946
106;-14657;11;1909;15;24.62180826846685;24.5;24.700000000000003;24.499999999999996
107;-14627;12;1909;15;23.419076865211462;23.3;23.5;23.288891965672946
108;-14596;1;1910;15;22.819076865211464;22.700000000000003;22.900000000000002;22.688891965672944
109;-14565;2;1910;15;22.555441327722654;22.5;22.6;22.47778393134589
110;-14537;3;1910;15;23.12180826846685;23.0;23.200000000000003;23.0
111;-14506;4;1910;15;23.55817273097804;23.5;23.6;23.488891965672945
112;-14476;5;1910;15;24.419076865211462;24.3;24.5;24.288891965672946
113;-14445;6;1910;15;25.48271240270027;25.3;25.6;25.3
114;-14415;7;1910;15;25.721808268466845;25.6;25.8;25.6
115;-14384;8;1910;15;26.063635537488807;26.0;26.1;26.011108034327055
116;-14353;9;1910;15;25.35817273097804;25.3;25.400000000000002;25.288891965672946
117;-14323;10;1910;15;25.421808268466847;25.3;25.5;25.3
118;-14292;11;1910;15;25.421808268466847;25.3;25.5;25.3
119;-14262;12;1910;15;24.758172730978043;24.700000000000003;24.8;24.688891965672944
120;-14231;1;1911;15;22.85817273097804;22.8;22.900000000000002;22.788891965672942
121;-14200;2;1911;15;22.819076865211464;22.700000000000003;22.900000000000002;22.688891965672944
